"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Prochlorperazine Edisylate","0641-6135-25","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA089903","Hikma Pharmaceuticals USA Inc.","0641-6135","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","08/29/1989","N/A","ANDA","25 VIAL in 1 CARTON (0641-6135-25)  / 2 mL in 1 VIAL (0641-6135-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","0713-0351-09","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA213626","Cosette Pharmaceuticals, Inc.","0713-0351","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","02/11/2022","N/A","ANDA","10 VIAL in 1 PACKAGE (0713-0351-09)  / 2 mL in 1 VIAL (0713-0351-02)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","0713-0351-25","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA213626","Cosette Pharmaceuticals, Inc.","0713-0351","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","02/11/2022","N/A","ANDA","25 VIAL in 1 PACKAGE (0713-0351-25)  / 2 mL in 1 VIAL (0713-0351-02)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","23155-294-41","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA204147","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-294","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","03/26/2012","N/A","ANDA","25 VIAL in 1 PACKAGE (23155-294-41)  / 2 mL in 1 VIAL (23155-294-31)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","23155-294-42","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA204147","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-294","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","03/26/2012","N/A","ANDA","10 VIAL in 1 PACKAGE (23155-294-42)  / 2 mL in 1 VIAL (23155-294-31)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","23155-523-41","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA204147","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-523","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","06/26/2015","N/A","ANDA","10 VIAL in 1 PACKAGE (23155-523-41)  / 2 mL in 1 VIAL (23155-523-31)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Edisylate","23155-523-42","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA204147","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-523","Prochlorperazine Edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","06/26/2015","N/A","ANDA","25 VIAL in 1 PACKAGE (23155-523-42)  / 2 mL in 1 VIAL (23155-523-31)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE EDISYLATE","25021-790-03","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA214107","Sagent Pharmaceuticals","25021-790","PROCHLORPERAZINE EDISYLATE","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","11/15/2021","N/A","ANDA","25 VIAL in 1 CARTON (25021-790-03)  / 2 mL in 1 VIAL","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE EDISYLATE","25021-790-02","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA214107","Sagent Pharmaceuticals","25021-790","PROCHLORPERAZINE EDISYLATE","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","11/15/2021","N/A","ANDA","10 VIAL in 1 CARTON (25021-790-02)  / 2 mL in 1 VIAL","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE EDISYLATE","43066-090-25","5 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA214379","Baxter Healthcare Corporation","43066-090","prochlorperazine edisylate","PROCHLORPERAZINE EDISYLATE","HUMAN PRESCRIPTION DRUG","05/03/2021","N/A","ANDA","25 VIAL in 1 CARTON (43066-090-25)  / 2 mL in 1 VIAL (43066-090-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
