"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Prochlorperazine Maleate","0904-7381-06","5 mg/1","TABLET, FILM COATED","ORAL","ANDA216202","Major Pharmaceuticals","0904-7381","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","10/30/2023","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7381-06)  / 1 TABLET, FILM COATED in 1 BLISTER PACK","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"Prochlorperazine Maleate","0904-7382-06","10 mg/1","TABLET, FILM COATED","ORAL","ANDA216202","Major Pharmaceuticals","0904-7382","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","10/30/2023","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7382-06)  / 1 TABLET, FILM COATED in 1 BLISTER PACK","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"Prochlorperazine Maleate","27241-286-01","5 mg/1","TABLET","ORAL","ANDA218515","Ajanta Pharma USA Inc.","27241-286","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","05/09/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (27241-286-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Prochlorperazine Maleate","27241-287-01","10 mg/1","TABLET","ORAL","ANDA218515","Ajanta Pharma USA Inc.","27241-287","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","05/09/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (27241-287-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","42708-103-12","10 mg/1","TABLET","ORAL","ANDA040268","QPharma, Inc.","42708-103","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","10/18/2019","N/A","ANDA","12 TABLET in 1 BOTTLE (42708-103-12)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","Yes","12/31/2026"
"PROCHLORPERAZINE MALEATE","43063-742-06","10 mg/1","TABLET","ORAL","ANDA040268","PD-Rx Pharmaceuticals, Inc.","43063-742","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","02/06/2017","N/A","ANDA","6 TABLET in 1 BOTTLE, PLASTIC (43063-742-06)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"PROCHLORPERAZINE MALEATE","43063-742-15","10 mg/1","TABLET","ORAL","ANDA040268","PD-Rx Pharmaceuticals, Inc.","43063-742","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","11/08/2018","N/A","ANDA","15 TABLET in 1 BOTTLE, PLASTIC (43063-742-15)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"PROCHLORPERAZINE MALEATE","50090-2839-0","10 mg/1","TABLET","ORAL","ANDA040268","A-S Medication Solutions","50090-2839","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","02/03/2017","N/A","ANDA","30 TABLET in 1 BOTTLE (50090-2839-0)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"PROCHLORPERAZINE MALEATE","50090-7147-5","5 mg/1","TABLET, FILM COATED","ORAL","ANDA217478","A-S Medication Solutions","50090-7147","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","05/01/2024","N/A","ANDA","6 TABLET, FILM COATED in 1 BOTTLE (50090-7147-5)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","50090-7147-0","5 mg/1","TABLET, FILM COATED","ORAL","ANDA217478","A-S Medication Solutions","50090-7147","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/26/2024","N/A","ANDA","3 TABLET, FILM COATED in 1 BOTTLE (50090-7147-0)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","50090-7634-5","5 mg/1","TABLET","ORAL","ANDA217478","A-S Medication Solutions","50090-7634","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","08/18/2025","N/A","ANDA","6 TABLET in 1 BOTTLE (50090-7634-5)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","50268-684-15","5 mg/1","TABLET","ORAL","ANDA040268","AvPAK","50268-684","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/16/2019","N/A","ANDA","50 BLISTER PACK in 1 BOX (50268-684-15)  / 1 TABLET in 1 BLISTER PACK (50268-684-11)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","50268-685-15","10 mg/1","TABLET","ORAL","ANDA040268","AvPAK","50268-685","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/16/2019","N/A","ANDA","50 BLISTER PACK in 1 BOX (50268-685-15)  / 1 TABLET in 1 BLISTER PACK (50268-685-11)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","51655-096-87","5 mg/1","TABLET","ORAL","ANDA040268","Northwind Health Company, LLC","51655-096","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/28/2014","N/A","ANDA","6 TABLET in 1 BOTTLE (51655-096-87)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"PROCHLORPERAZINE MALEATE","51655-330-52","10 mg/1","TABLET","ORAL","ANDA040268","Northwind Health Company, LLC","51655-330","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","08/26/2022","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (51655-330-52)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"PROCHLORPERAZINE MALEATE","55154-4342-0","10 mg/1","TABLET","ORAL","ANDA040268","Cardinal Health 107, LLC","55154-4342","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/16/2019","N/A","ANDA","10 BLISTER PACK in 1 BAG (55154-4342-0)  / 1 TABLET in 1 BLISTER PACK","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"prochlorperazine maleate","59651-773-01","5 mg/1","TABLET, FILM COATED","ORAL","ANDA218734","Aurobindo Pharma Limited","59651-773","prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","09/08/2025","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (59651-773-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"prochlorperazine maleate","59651-774-01","10 mg/1","TABLET, FILM COATED","ORAL","ANDA218734","Aurobindo Pharma Limited","59651-774","prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","09/08/2025","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (59651-774-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","59746-113-10","5 mg/1","TABLET","ORAL","ANDA040268","Jubilant Cadista Pharmaceuticals Inc.","59746-113","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","03/01/1998","N/A","ANDA","1000 TABLET in 1 BOTTLE (59746-113-10)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","59746-113-06","5 mg/1","TABLET","ORAL","ANDA040268","Jubilant Cadista Pharmaceuticals Inc.","59746-113","Prochlorperazine Maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","03/01/1998","N/A","ANDA","100 TABLET in 1 BOTTLE (59746-113-06)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","59746-115-06","10 mg/1","TABLET","ORAL","ANDA040268","Jubilant Cadista Pharmaceuticals Inc.","59746-115","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","03/01/1998","N/A","ANDA","100 TABLET in 1 BOTTLE (59746-115-06)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PROCHLORPERAZINE MALEATE","59746-115-10","10 mg/1","TABLET","ORAL","ANDA040268","Jubilant Cadista Pharmaceuticals Inc.","59746-115","Prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","03/01/1998","N/A","ANDA","1000 TABLET in 1 BOTTLE (59746-115-10)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"prochlorperazine maleate","60219-2038-1","5 mg/1","TABLET, FILM COATED","ORAL","ANDA216598","Amneal Pharmaceuticals NY LLC","60219-2038","prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/21/2023","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (60219-2038-1)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"prochlorperazine maleate","60219-2038-7","5 mg/1","TABLET, FILM COATED","ORAL","ANDA216598","Amneal Pharmaceuticals NY LLC","60219-2038","prochlorperazine maleate","PROCHLORPERAZINE MALEATE","HUMAN PRESCRIPTION DRUG","04/21/2023","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (60219-2038-7)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
