Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
basic care lansoprazole,72288-301-03,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,Amazon.com Services LLC,72288-301,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,09/24/2020,N/A,ANDA,"3 BOTTLE in 1 CARTON (72288-301-03) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
basic care lansoprazole,72288-301-01,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,Amazon.com Services LLC,72288-301,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,08/13/2021,N/A,ANDA,"1 BOTTLE in 1 CARTON (72288-301-01) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
basic care lansoprazole,72288-343-01,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,Amazon.com Services LLC,72288-343,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,09/07/2021,N/A,ANDA,"1 BOTTLE in 1 CARTON (72288-343-01) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
basic care lansoprazole,72288-343-03,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,Amazon.com Services LLC,72288-343,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,06/22/2021,N/A,ANDA,"3 BOTTLE in 1 CARTON (72288-343-03) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
basic care lansoprazole,72288-829-55,15 mg/1,"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",ORAL,NDA208025,Amazon.com Services LLC,72288-829,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,08/09/2021,N/A,NDA,"3 CARTON in 1 CARTON (72288-829-55) / 14 BLISTER PACK in 1 CARTON / 1 TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE in 1 BLISTER PACK","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
BERKLEY AND JENSEN LANSOPRAZOLE,68391-823-03,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,BJWC,68391-823,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,10/21/2022,N/A,ANDA,"3 BOTTLE in 1 PACKAGE (68391-823-03) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68391-823-00)","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
careone acid reducer,72476-020-03,15 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA202319,"Retail Business Services, LLC",72476-020,Lansoprazole,LANSOPRAZOLE,HUMAN OTC DRUG,12/14/2021,N/A,ANDA,"3 BOTTLE in 1 CARTON (72476-020-03) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
Dexilant,64764-171-90,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-90)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-30,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-30)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-19,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-19)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
