Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
24 HOUR Esomeprazole Magnesium,85828-718-45,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA217264,"Grocery Outlet, Inc.",85828-718,esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,06/05/2026,N/A,ANDA,"1 BOTTLE in 1 CARTON (85828-718-45) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
Acid Reducer,0363-9977-42,20 mg/1,TABLET,ORAL,ANDA212088,Walgreens,0363-9977,Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,11/04/2022,11/28/2026,ANDA,"3 BOTTLE, PLASTIC in 1 CARTON (0363-9977-42) / 14 TABLET in 1 BOTTLE, PLASTIC","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,N/A
Acid Reducer,0363-9977-14,20 mg/1,TABLET,ORAL,ANDA212088,Walgreens,0363-9977,Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,11/04/2022,11/28/2026,ANDA,1 BOTTLE in 1 CARTON (0363-9977-14) / 14 TABLET in 1 BOTTLE,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,N/A
Acid Reducer,69842-679-14,20 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA212088,CVS Pharmacy,69842-679,Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,12/31/2021,04/30/2027,ANDA,"1 BOTTLE, PLASTIC in 1 CARTON (69842-679-14) / 14 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,N/A
Acid Reducer,69842-679-42,20 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA212088,CVS Pharmacy,69842-679,Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,12/31/2021,04/30/2027,ANDA,"3 BOTTLE, PLASTIC in 1 CARTON (69842-679-42) / 14 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,N/A
Acid Reducer,70000-0232-3,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA078878,"LEADER/ Cardinal Health 110, Inc.",70000-0232,Omeprazole Magnesium,OMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,03/07/2017,N/A,ANDA,"3 BOTTLE in 1 CARTON (70000-0232-3) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Acid Reducer,70000-0232-1,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA078878,"LEADER/ Cardinal Health 110, Inc.",70000-0232,Omeprazole Magnesium,OMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,03/07/2017,N/A,ANDA,"1 BOTTLE in 1 CARTON (70000-0232-1) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
basic care omeprazole,72288-023-03,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA216096,Amazon.com Services LLC,72288-023,Omeprazole magnesium,OMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,02/22/2023,N/A,ANDA,"3 BOTTLE in 1 CARTON (72288-023-03) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE (72288-023-01)","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
equate esomeprazole magnesium,79903-293-42,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207193,WALMART INC.,79903-293,esomeprazole magnesium dihydrate,ESOMEPRAZOLE MAGNESIUM DIHYDRATE,HUMAN OTC DRUG,02/07/2025,N/A,ANDA,"3 BOTTLE in 1 CARTON (79903-293-42) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE (79903-293-14)","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
equate omeprazole,79903-112-14,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA216096,WALMART INC.,79903-112,Omeprazole magnesium,OMEPRAZOLE MAGNESIUM,HUMAN OTC DRUG,11/30/2022,N/A,ANDA,"1 BOTTLE in 1 CARTON (79903-112-14) / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
