"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"24 HOUR Omeprazole","85828-731-45","20 mg/1","TABLET, DELAYED RELEASE","ORAL","ANDA218829","Grocery Outlet, Inc.","85828-731","Omeprazole 20 mg","OMEPRAZOLE MAGNESIUM","HUMAN OTC DRUG","03/25/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (85828-731-45)  / 14 TABLET, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2027"
"Omeprazole","68071-3007-2","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","28 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-2)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","68071-3007-3","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-3)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","68071-3007-4","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","14 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-4)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","68071-3007-6","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","60 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-6)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","68071-3007-8","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","180 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-8)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","68071-3007-9","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA091672","NuCare Pharmaceuticals,Inc.","68071-3007","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/27/2018","N/A","ANDA","90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (68071-3007-9)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"omeprazole","0363-6101-03","20 mg/1","TABLET, DELAYED RELEASE","ORAL","NDA022032","Walgreen Company","0363-6101","omeprazole","OMEPRAZOLE","HUMAN OTC DRUG","03/09/2023","N/A","NDA","3 BOTTLE in 1 CARTON (0363-6101-03)  / 14 TABLET, DELAYED RELEASE in 1 BOTTLE (0363-6101-01)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"OMEPRAZOLE","21130-783-01","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA216096","Safeway","21130-783","Omeprazole","OMEPRAZOLE MAGNESIUM","HUMAN OTC DRUG","05/18/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (21130-783-01)  / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2027"
"OMEPRAZOLE","21130-783-03","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA216096","Safeway","21130-783","Omeprazole","OMEPRAZOLE MAGNESIUM","HUMAN OTC DRUG","04/27/2026","N/A","ANDA","3 BOTTLE in 1 CARTON (21130-783-03)  / 14 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2027"
"Omeprazole","82009-023-05","40 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA078490","Quallent Pharmaceuticals Health LLC","82009-023","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","11/15/2022","N/A","ANDA","500 CAPSULE, DELAYED RELEASE in 1 BOTTLE (82009-023-05)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"ZEGERID","68012-102-30","20 mg/1,  1100 mg/1","CAPSULE","ORAL","NDA021849","Santarus, Inc..","68012-102","omeprazole and sodium bicarbonate","OMEPRAZOLE,  SODIUM BICARBONATE","HUMAN PRESCRIPTION DRUG","02/27/2006","N/A","NDA","30 CAPSULE in 1 BOTTLE (68012-102-30)","Alkalinizing Activity [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2027"
"Omeprazole","71335-0332-0","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","05/28/2024","N/A","ANDA","7 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-0)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-1","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","07/16/2018","N/A","ANDA","30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-1)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-2","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","03/25/2020","N/A","ANDA","60 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-2)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-3","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","05/28/2024","N/A","ANDA","56 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-3)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-4","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","05/08/2020","N/A","ANDA","90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-4)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-5","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","06/03/2020","N/A","ANDA","20 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-5)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-6","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","07/06/2018","N/A","ANDA","15 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-6)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-7","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","03/12/2020","N/A","ANDA","120 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-7)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-8","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","05/28/2024","N/A","ANDA","100 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-8)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
"Omeprazole","71335-0332-9","20 mg/1","CAPSULE, DELAYED RELEASE","ORAL","ANDA075576","Bryant Ranch Prepack","71335-0332","Omeprazole","OMEPRAZOLE","HUMAN PRESCRIPTION DRUG","05/28/2024","N/A","ANDA","28 CAPSULE, DELAYED RELEASE in 1 BOTTLE (71335-0332-9)","Cytochrome P450 2C19 Inhibitors [MoA],  Proton Pump Inhibitor [EPC],  Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026"
