Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Pantoprazole Sodium,0143-9284-10,40 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA209463,Hikma Pharmaceuticals USA Inc.,0143-9284,Pantoprazole Sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,09/22/2017,N/A,NDA,"10 VIAL in 1 CARTON (0143-9284-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL (0143-9284-01)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Pantoprazole Sodium,0143-9300-10,40 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA209463,Hikma Pharmaceuticals USA Inc.,0143-9300,Pantoprazole Sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,09/22/2017,N/A,NDA,"10 VIAL in 1 CARTON (0143-9300-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL (0143-9300-01)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
PANTOPRAZOLE SODIUM,0338-9644-12,40 mg/100mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA217512,Baxter Healthcare Company,0338-9644,Pantoprazole Sodium in 0.9% Sodium Chloride,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,02/14/2024,N/A,NDA,12 BAG in 1 CARTON (0338-9644-12) / 100 mL in 1 BAG (0338-9644-01),"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
PANTOPRAZOLE SODIUM,0338-9646-24,40 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA217512,Baxter Healthcare Company,0338-9646,Pantoprazole Sodium in 0.9% Sodium Chloride,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,02/14/2024,N/A,NDA,24 BAG in 1 CARTON (0338-9646-24) / 50 mL in 1 BAG (0338-9646-01),"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
PANTOPRAZOLE SODIUM,0338-9648-12,80 mg/100mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA217512,Baxter Healthcare Company,0338-9648,Pantoprazole Sodium in 0.9% Sodium Chloride,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,02/14/2024,N/A,NDA,12 BAG in 1 CARTON (0338-9648-12) / 100 mL in 1 BAG (0338-9648-01),"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2027
Pantoprazole Sodium,0378-6688-77,20 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA090970,Mylan Pharmaceuticals Inc.,0378-6688,pantoprazole sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,01/19/2011,N/A,ANDA,"90 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0378-6688-77)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Pantoprazole Sodium,0378-6689-77,40 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA090970,Mylan Pharmaceuticals Inc.,0378-6689,pantoprazole sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,01/19/2011,N/A,ANDA,"90 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0378-6689-77)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Pantoprazole Sodium,0378-6689-10,40 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA090970,Mylan Pharmaceuticals Inc.,0378-6689,pantoprazole sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,01/19/2011,N/A,ANDA,"1000 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0378-6689-10)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Pantoprazole Sodium,0615-7629-39,40 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA090970,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-7629,pantoprazole sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,04/06/2022,N/A,ANDA,"30 TABLET, DELAYED RELEASE in 1 BLISTER PACK (0615-7629-39)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Pantoprazole Sodium,0615-7629-30,40 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA090970,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-7629,pantoprazole sodium,PANTOPRAZOLE SODIUM,HUMAN PRESCRIPTION DRUG,04/11/2022,N/A,ANDA,"6 BLISTER PACK in 1 BOX, UNIT-DOSE (0615-7629-30) / 5 TABLET, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
