Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
1% Hydrocortisone Anti-itch,73492-291-28,10 mg/g,CREAM,TOPICAL,M017,ALAINA HEALTHCARE PRIVATE LIMITED,73492-291,1% Hydrocortisone Anti-itch,HYDROCORTISONE,HUMAN OTC DRUG,07/21/2026,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (73492-291-28) / 28 g in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Absolut Skin Corticosoothe Anti-Itch,87184-899-00,10 mg/mL,CREAM,TOPICAL,M017,Absolut Skin Incorporated,87184-899,HYDROCORTISONE,HYDROCORTISONE,HUMAN OTC DRUG,09/12/2025,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 BOX (87184-899-00) / 30 mL in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2026
AEROSOOTHE,55305-136-02,10 mg/g,CREAM,TOPICAL,M017,Aero Healthcare US LLC,55305-136,Hydrocortisone,HYDROCORTISONE,HUMAN OTC DRUG,07/23/2026,N/A,OTC MONOGRAPH DRUG,25 PACKET in 1 BOX (55305-136-02) / .9 g in 1 PACKET (55305-136-01),"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Ala-Scalp,77052-010-02,20 mg/mL,LOTION,TOPICAL,ANDA083231,Derm Ventures LLC,77052-010,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,07/24/2020,N/A,ANDA,"1 BOTTLE, WITH APPLICATOR in 1 BOX (77052-010-02) / 59.2 mL in 1 BOTTLE, WITH APPLICATOR","Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Ala-Scalp,77052-010-01,20 mg/mL,LOTION,TOPICAL,ANDA083231,Derm Ventures LLC,77052-010,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,01/01/2021,N/A,ANDA,"1 BOTTLE, WITH APPLICATOR in 1 BOX (77052-010-01) / 29.6 mL in 1 BOTTLE, WITH APPLICATOR","Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Alacort,0316-0126-03,10 mg/g,CREAM,TOPICAL,ANDA080706,Crown Laboratories,0316-0126,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,03/09/1973,N/A,ANDA,1 TUBE in 1 CARTON (0316-0126-03) / 85.2 g in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Alacort,0316-0126-01,10 mg/g,CREAM,TOPICAL,ANDA080706,Crown Laboratories,0316-0126,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,03/09/1973,N/A,ANDA,1 TUBE in 1 CARTON (0316-0126-01) / 28.4 g in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Alacort,0316-0128-30,25 mg/g,CREAM,TOPICAL,ANDA080706,Crown Laboratories,0316-0128,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,01/06/2016,N/A,ANDA,1 TUBE in 1 CARTON (0316-0128-30) / 30 g in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Alacort,0316-0128-20,25 mg/g,CREAM,TOPICAL,ANDA080706,Crown Laboratories,0316-0128,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,01/06/2016,N/A,ANDA,1 TUBE in 1 CARTON (0316-0128-20) / 20 g in 1 TUBE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
Alacort,0316-0128-16,25 mg/g,CREAM,TOPICAL,ANDA080706,Crown Laboratories,0316-0128,Hydrocortisone,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,01/06/2016,N/A,ANDA,454 g in 1 JAR (0316-0128-16),"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",N/A,No,12/31/2027
