Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
AVSOLA,55513-670-21,100 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA761086,"Amgen, Inc",55513-670,infliximab-axxq,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,09/01/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-670-21) / 10 mL in 1 VIAL, SINGLE-DOSE","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
AVSOLA,55513-670-01,100 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA761086,"Amgen, Inc",55513-670,infliximab-axxq,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,12/12/2019,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-670-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
INFLECTRA,0069-0809-01,100 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA125544,Pfizer Laboratories Div Pfizer Inc,0069-0809,infliximab-dyyb,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,11/21/2016,N/A,BLA,"1 VIAL, SINGLE-USE in 1 CARTON (0069-0809-01) / 10 mL in 1 VIAL, SINGLE-USE","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
INFLIXIMAB,57894-160-01,100 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA103772,"Janssen Biotech, Inc.",57894-160,INFLIXIMAB,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,10/05/2021,N/A,BLA,"1 VIAL, SINGLE-USE in 1 BOX (57894-160-01) / 10 mL in 1 VIAL, SINGLE-USE","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
REMICADE,57894-030-01,100 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA103772,"Janssen Biotech, Inc.",57894-030,INFLIXIMAB,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,08/24/1998,N/A,BLA,"1 VIAL, SINGLE-USE in 1 BOX (57894-030-01) / 10 mL in 1 VIAL, SINGLE-USE","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2026
Renflexis,78206-162-01,100 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA761054,Organon LLC,78206-162,infliximab,INFLIXIMAB,HUMAN PRESCRIPTION DRUG,06/01/2021,N/A,BLA,"1 VIAL in 1 CARTON (78206-162-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL (78206-162-99)","Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
ZYMFENTRA,72606-025-04,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,6 KIT in 1 CARTON (72606-025-04) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-07,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,4 KIT in 1 CARTON (72606-025-07) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-01,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,1 KIT in 1 CARTON (72606-025-01) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-03,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,4 KIT in 1 CARTON (72606-025-03) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-02,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,2 KIT in 1 CARTON (72606-025-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-12,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,6 KIT in 1 CARTON (72606-025-12) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-06,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,2 KIT in 1 CARTON (72606-025-06) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-05,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,1 KIT in 1 CARTON (72606-025-05) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-10,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,2 KIT in 1 CARTON (72606-025-10) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-08,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,6 KIT in 1 CARTON (72606-025-08) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-09,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,1 KIT in 1 CARTON (72606-025-09) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-025-11,,KIT,,BLA761358,CELLTRION USA Inc.,72606-025,infliximab-dyyb,,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,4 KIT in 1 CARTON (72606-025-11) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / 1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
ZYMFENTRA,72606-047-01,120 mg/mL,INJECTION,SUBCUTANEOUS,BLA761358,CELLTRION USA Inc.,72606-047,infliximab-dyyb,INFLIXIMAB-DYYB,HUMAN PRESCRIPTION DRUG,03/01/2024,N/A,BLA,1 SYRINGE in 1 CARTON (72606-047-01) / 1 mL in 1 SYRINGE,"Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,Yes,12/31/2027
