Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
APRISO,65649-103-01,375 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA022301,"Salix Pharmaceuticals, Inc.",65649-103,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,10/31/2008,N/A,NDA,"1 BOTTLE in 1 CARTON (65649-103-01) / 4 CAPSULE, EXTENDED RELEASE in 1 BOTTLE","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,Yes,12/31/2027
APRISO,65649-103-02,375 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA022301,"Salix Pharmaceuticals, Inc.",65649-103,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,10/31/2008,N/A,NDA,"1 BOTTLE in 1 CARTON (65649-103-02) / 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Canasa,58914-501-56,1000 mg/1,SUPPOSITORY,RECTAL,NDA021252,"Allergan, Inc.",58914-501,Mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/05/2001,N/A,NDA,30 SUPPOSITORY in 1 BOX (58914-501-56),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Canasa,58914-501-33,1000 mg/1,SUPPOSITORY,RECTAL,NDA021252,"Allergan, Inc.",58914-501,Mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/05/2001,N/A,NDA,3 SUPPOSITORY in 1 BOX (58914-501-33),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,Yes,12/31/2027
Canasa,58914-501-42,1000 mg/1,SUPPOSITORY,RECTAL,NDA021252,"Allergan, Inc.",58914-501,Mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/05/2001,N/A,NDA,42 SUPPOSITORY in 1 BOX (58914-501-42),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Lialda,54092-476-01,1.2 g/1,"TABLET, DELAYED RELEASE",ORAL,NDA022000,"Takeda Pharmaceuticals America, Inc.",54092-476,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/16/2007,N/A,NDA,"120 TABLET, DELAYED RELEASE in 1 BOTTLE (54092-476-01)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Lialda,54092-476-08,1.2 g/1,"TABLET, DELAYED RELEASE",ORAL,NDA022000,"Takeda Pharmaceuticals America, Inc.",54092-476,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/16/2007,N/A,NDA,"3 CARTON in 1 CARTON (54092-476-08) / 8 BLISTER PACK in 1 CARTON / 1 TABLET, DELAYED RELEASE in 1 BLISTER PACK","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Lialda,54092-476-12,1.2 g/1,"TABLET, DELAYED RELEASE",ORAL,NDA022000,"Takeda Pharmaceuticals America, Inc.",54092-476,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/16/2007,N/A,NDA,"120 TABLET, DELAYED RELEASE in 1 BOTTLE (54092-476-12)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Lialda,54092-476-02,1.2 g/1,"TABLET, DELAYED RELEASE",ORAL,NDA022000,"Takeda Pharmaceuticals America, Inc.",54092-476,mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,01/16/2007,N/A,NDA,"12 BOTTLE in 1 CARTON (54092-476-02) / 120 TABLET, DELAYED RELEASE in 1 BOTTLE (54092-476-01)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Mesalamine,0093-5907-86,400 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207873,"Teva Pharmaceuticals USA, Inc.",0093-5907,Mesalamine,MESALAMINE,HUMAN PRESCRIPTION DRUG,05/09/2019,N/A,ANDA,"180 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0093-5907-86)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
