Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Omvoh,0002-1442-11,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-1442,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,10/23/2025,N/A,BLA,1 SYRINGE in 1 CARTON (0002-1442-11) / 2 mL in 1 SYRINGE (0002-1442-01),"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Omvoh,0002-3116-61,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-3116,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,11/06/2025,N/A,BLA,1 SYRINGE in 1 CARTON (0002-3116-61) / 2 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,Yes,12/31/2027
Omvoh,0002-3116-11,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-3116,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,10/23/2025,N/A,BLA,1 SYRINGE in 1 CARTON (0002-3116-11) / 2 mL in 1 SYRINGE (0002-3116-01),"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Omvoh,0002-7575-01,20 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761279,Eli Lilly and Company,0002-7575,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,10/26/2023,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0002-7575-01) / 15 mL in 1 VIAL, SINGLE-DOSE","Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Omvoh,0002-7717-61,,KIT,SUBCUTANEOUS; SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-7717,mirikizumab-mrkz,,HUMAN PRESCRIPTION DRUG,01/15/2025,N/A,BLA,1 KIT in 1 CARTON (0002-7717-61) * 1 mL in 1 SYRINGE * 2 mL in 1 SYRINGE * 1 mL in 1 SYRINGE (0002-8011-01) * 2 mL in 1 SYRINGE (0002-3116-01),N/A,N/A,Yes,12/31/2027
Omvoh,0002-7717-11,,KIT,SUBCUTANEOUS; SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-7717,mirikizumab-mrkz,,HUMAN PRESCRIPTION DRUG,01/15/2025,N/A,BLA,1 KIT in 1 CARTON (0002-7717-11) * 1 mL in 1 SYRINGE * 2 mL in 1 SYRINGE * 1 mL in 1 SYRINGE (0002-8011-01) * 2 mL in 1 SYRINGE (0002-3116-01),N/A,N/A,No,12/31/2027
Omvoh,0002-7722-11,,KIT,SUBCUTANEOUS; SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-7722,mirikizumab-mrkz,,HUMAN PRESCRIPTION DRUG,01/15/2025,N/A,BLA,1 KIT in 1 CARTON (0002-7722-11) * 1 mL in 1 SYRINGE (0002-8870-01) * 2 mL in 1 SYRINGE (0002-1442-01),N/A,N/A,No,12/31/2027
Omvoh,0002-8011-27,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-8011,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,10/26/2023,N/A,BLA,2 SYRINGE in 1 CARTON (0002-8011-27) / 1 mL in 1 SYRINGE (0002-8011-01),"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Omvoh,0002-8011-61,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-8011,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,01/16/2024,11/05/2026,BLA,2 SYRINGE in 1 CARTON (0002-8011-61) / 1 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,Yes,12/31/2027
Omvoh,0002-8870-27,100 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761279,Eli Lilly and Company,0002-8870,mirikizumab-mrkz,MIRIKIZUMAB,HUMAN PRESCRIPTION DRUG,04/29/2024,N/A,BLA,2 SYRINGE in 1 CARTON (0002-8870-27) / 1 mL in 1 SYRINGE (0002-8870-01),"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
