Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Azulfidine,0013-0101-10,500 mg/1,TABLET,ORAL,NDA007073,Pfizer Laboratories Div Pfizer Inc,0013-0101,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,02/27/2020,N/A,NDA,1 BOTTLE in 1 CARTON (0013-0101-10) / 100 TABLET in 1 BOTTLE,"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Azulfidine,0013-0101-30,500 mg/1,TABLET,ORAL,NDA007073,Pfizer Laboratories Div Pfizer Inc,0013-0101,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,02/27/2020,N/A,NDA,1 BOTTLE in 1 CARTON (0013-0101-30) / 300 TABLET in 1 BOTTLE,"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Azulfidine,0013-0102-50,500 mg/1,"TABLET, DELAYED RELEASE",ORAL,NDA007073,Pfizer Laboratories Div Pfizer Inc,0013-0102,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,07/07/2020,N/A,NDA,"1 BOTTLE in 1 CARTON (0013-0102-50) / 100 TABLET, DELAYED RELEASE in 1 BOTTLE","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Azulfidine,0013-0102-60,500 mg/1,"TABLET, DELAYED RELEASE",ORAL,NDA007073,Pfizer Laboratories Div Pfizer Inc,0013-0102,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,02/15/2021,N/A,NDA,"1 BOTTLE in 1 CARTON (0013-0102-60) / 300 TABLET, DELAYED RELEASE in 1 BOTTLE","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2027
Sulfasalazine,0093-3234-10,500 mg/1,TABLET,ORAL,ANDA085828,"Teva Pharmaceuticals USA, Inc.",0093-3234,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,12/15/2022,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0093-3234-10)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
Sulfasalazine,0093-3234-05,500 mg/1,TABLET,ORAL,ANDA085828,"Teva Pharmaceuticals USA, Inc.",0093-3234,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,02/27/2023,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0093-3234-05)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
Sulfasalazine,0093-3234-01,500 mg/1,TABLET,ORAL,ANDA085828,"Teva Pharmaceuticals USA, Inc.",0093-3234,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,12/15/2022,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0093-3234-01)","Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
Sulfasalazine,11534-200-01,500 mg/1,TABLET,ORAL,ANDA040349,"Sunrise Pharmaceutical, Inc.",11534-200,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,07/15/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (11534-200-01),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
Sulfasalazine,11534-200-04,500 mg/1,TABLET,ORAL,ANDA040349,"Sunrise Pharmaceutical, Inc.",11534-200,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,07/15/2025,N/A,ANDA,500 TABLET in 1 BOTTLE (11534-200-04),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
Sulfasalazine,11534-200-07,500 mg/1,TABLET,ORAL,ANDA040349,"Sunrise Pharmaceutical, Inc.",11534-200,Sulfasalazine,SULFASALAZINE,HUMAN PRESCRIPTION DRUG,07/15/2025,N/A,ANDA,300 TABLET in 1 BOTTLE (11534-200-07),"Aminosalicylate [EPC], Aminosalicylic Acids [CS]",N/A,No,12/31/2026
