"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Atorvastatin Calcium","71335-3144-1","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (71335-3144-1)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","71335-3144-2","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (71335-3144-2)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","71335-3144-3","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (71335-3144-3)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","71335-3144-4","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","120 TABLET, FILM COATED in 1 BOTTLE (71335-3144-4)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","71335-3144-5","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (71335-3144-5)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","71335-3144-6","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214513","Bryant Ranch Prepack","71335-3144","Atorvastatin Calcium","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/18/2026","N/A","ANDA","180 TABLET, FILM COATED in 1 BOTTLE (71335-3144-6)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Atorvastatin Calcium","68071-3868-3","10 mg/1","TABLET","ORAL","ANDA209912","NuCare Pharmaceuticals,Inc.","68071-3868","atorvastatin calcium, film coated","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","06/13/2025","N/A","ANDA","30 TABLET in 1 BOTTLE (68071-3868-3)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","42708-013-30","20 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","QPharma, Inc.","42708-013","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","03/14/2018","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (42708-013-30)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","Yes","12/31/2026"
"ATORVASTATIN CALCIUM","42708-014-30","10 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","QPharma, Inc.","42708-014","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","03/14/2018","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (42708-014-30)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","Yes","12/31/2026"
"ATORVASTATIN CALCIUM","82804-144-30","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214344","Proficient Rx LP","82804-144","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","11/08/2024","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (82804-144-30)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","82804-144-90","10 mg/1","TABLET, FILM COATED","ORAL","ANDA214344","Proficient Rx LP","82804-144","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM TRIHYDRATE","HUMAN PRESCRIPTION DRUG","09/18/2024","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (82804-144-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","60505-2580-0","40 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","Apotex Corp.","60505-2580","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","05/29/2012","N/A","ANDA","10 BLISTER PACK in 1 CARTON (60505-2580-0)  / 10 TABLET, FILM COATED in 1 BLISTER PACK","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","60505-2580-3","40 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","Apotex Corp.","60505-2580","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","05/29/2012","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (60505-2580-3)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","60505-2580-5","40 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","Apotex Corp.","60505-2580","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","05/29/2012","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (60505-2580-5)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","60505-2580-7","40 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","Apotex Corp.","60505-2580","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","05/29/2012","N/A","ANDA","4000 TABLET, FILM COATED in 1 BOTTLE (60505-2580-7)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ATORVASTATIN CALCIUM","60505-2580-8","40 mg/1","TABLET, FILM COATED","ORAL","ANDA090548","Apotex Corp.","60505-2580","ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","HUMAN PRESCRIPTION DRUG","05/29/2012","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE (60505-2580-8)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
