Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Colesevelam Hydrochloride,0115-1320-19,625 mg/1,"TABLET, FILM COATED",ORAL,ANDA091600,Amneal Pharmaceuticals of New York LLC,0115-1320,COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/17/2018,N/A,ANDA,"180 TABLET, FILM COATED in 1 BOTTLE (0115-1320-19)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Colesevelam hydrochloride,0115-1864-18,3.75 g/1,FOR SUSPENSION,ORAL,ANDA212886,Amneal Pharmaceuticals of New York LLC,0115-1864,Colesevelam hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/20/2023,N/A,ANDA,30 PACKET in 1 CARTON (0115-1864-18) / 1 FOR SUSPENSION in 1 PACKET (0115-1864-30),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Colesevelam hydrochloride,27808-190-01,625 mg/1,TABLET,ORAL,ANDA209946,"Cranbury Pharmaceuticals, LLC",27808-190,Colesevelam hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/19/2020,N/A,ANDA,180 TABLET in 1 BOTTLE (27808-190-01),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Colesevelam Hydrochloride,33342-197-57,625 mg/1,"TABLET, FILM COATED",ORAL,ANDA204893,Macleods Pharmaceuticals Limited,33342-197,Colesevelam Hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/18/2025,N/A,ANDA,"180 TABLET, FILM COATED in 1 BOTTLE (33342-197-57)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Colesevelam Hydrochloride,43598-230-18,625 mg/1,TABLET,ORAL,ANDA210889,Dr.Reddys Laboratories Inc,43598-230,Colesevelam Hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/05/2018,N/A,ANDA,180 TABLET in 1 BOTTLE (43598-230-18),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
COLESEVELAM HYDROCHLORIDE,50090-6994-0,625 mg/1,"TABLET, FILM COATED",ORAL,NDA021176,A-S Medication Solutions,50090-6994,COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2023,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-6994-0)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
COLESEVELAM HYDROCHLORIDE,50090-6995-0,625 mg/1,"TABLET, FILM COATED",ORAL,NDA021176,A-S Medication Solutions,50090-6995,COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2023,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-6995-0)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
colesevelam hydrochloride,50090-7459-0,625 mg/1,"TABLET, FILM COATED",ORAL,ANDA203480,A-S Medication Solutions,50090-7459,colesevelam hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/14/2024,N/A,ANDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-7459-0)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
colesevelam hydrochloride,50090-7460-0,625 mg/1,"TABLET, FILM COATED",ORAL,ANDA203480,A-S Medication Solutions,50090-7460,colesevelam hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/14/2024,N/A,ANDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-7460-0)","Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Colesevelam hydrochloride,50090-7604-0,625 mg/1,TABLET,ORAL,ANDA209946,A-S Medication Solutions,50090-7604,Colesevelam hydrochloride,COLESEVELAM HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/16/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (50090-7604-0),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
