Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ANTARA,27437-109-06,43 mg/1,CAPSULE,ORAL,NDA021695,"Lupin Pharmaceuticals, Inc.",27437-109,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,09/25/2009,N/A,NDA,30 CAPSULE in 1 BOTTLE (27437-109-06),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
ANTARA,27437-110-06,130 mg/1,CAPSULE,ORAL,NDA021695,"Lupin Pharmaceuticals, Inc.",27437-110,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,09/25/2009,N/A,NDA,30 CAPSULE in 1 BOTTLE (27437-110-06),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5511-03,54 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5511,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,1000 TABLET in 1 BOTTLE (0115-5511-03),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5511-02,54 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5511,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,500 TABLET in 1 BOTTLE (0115-5511-02),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5511-01,54 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5511,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,100 TABLET in 1 BOTTLE (0115-5511-01),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5511-10,54 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5511,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,90 TABLET in 1 BOTTLE (0115-5511-10),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5522-03,160 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5522,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,1000 TABLET in 1 BOTTLE (0115-5522-03),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5522-01,160 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5522,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,100 TABLET in 1 BOTTLE (0115-5522-01),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5522-02,160 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5522,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,500 TABLET in 1 BOTTLE (0115-5522-02),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRATE,0115-5522-10,160 mg/1,TABLET,ORAL,ANDA076509,Amneal Pharmaceuticals of New York LLC,0115-5522,FENOFIBRATE,FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,ANDA,90 TABLET in 1 BOTTLE (0115-5522-10),Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
