Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Diethylpropion,62135-488-90,25 mg/1,TABLET,ORAL,ANDA200177,"Chartwell RX, LLC.",62135-488,Diethylpropion Hydrochloride,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/03/2023,N/A,ANDA,90 TABLET in 1 BOTTLE (62135-488-90),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
Diethylpropion Hydrochloride,0527-1475-01,25 mg/1,TABLET,ORAL,ANDA200177,"Lannett Company, Inc.",0527-1475,Diethylpropion Hydrochloride,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/18/2011,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0527-1475-01)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
Diethylpropion Hydrochloride,0527-1477-25,75 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA091680,"Lannett Company, Inc.",0527-1477,Diethylpropion Hydrochloride,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/24/2011,N/A,ANDA,"250 TABLET, EXTENDED RELEASE in 1 BOTTLE (0527-1477-25)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
Diethylpropion Hydrochloride,0527-1477-01,75 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA091680,"Lannett Company, Inc.",0527-1477,Diethylpropion Hydrochloride,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/24/2011,N/A,ANDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0527-1477-01)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,10702-044-01,25 mg/1,TABLET,ORAL,ANDA201212,"KVK-TECH, INC",10702-044,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,100 TABLET in 1 BOTTLE (10702-044-01),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,10702-044-03,25 mg/1,TABLET,ORAL,ANDA201212,"KVK-TECH, INC",10702-044,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,30 TABLET in 1 BOTTLE (10702-044-03),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,10702-044-06,25 mg/1,TABLET,ORAL,ANDA201212,"KVK-TECH, INC",10702-044,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,60 TABLET in 1 BOTTLE (10702-044-06),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-28,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"28 TABLET in 1 BOTTLE, PLASTIC (17224-730-28)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-60,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"60 TABLET in 1 BOTTLE, PLASTIC (17224-730-60)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-56,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"56 TABLET in 1 BOTTLE, PLASTIC (17224-730-56)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-84,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"84 TABLET in 1 BOTTLE, PLASTIC (17224-730-84)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-90,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (17224-730-90)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
DIETHYLPROPION HYDROCHLORIDE,17224-730-30,25 mg/1,TABLET,ORAL,ANDA201212,"Calvin Scott & Co., Inc.",17224-730,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/27/2010,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (17224-730-30)","Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
