Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Liraglutide,0143-9144-02,6 mg/mL,INJECTION,SUBCUTANEOUS,ANDA215503,Hikma Pharmaceuticals USA Inc.,0143-9144,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,12/24/2024,N/A,ANDA,"2 SYRINGE, PLASTIC in 1 CARTON (0143-9144-02) / 3 mL in 1 SYRINGE, PLASTIC (0143-9144-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
Liraglutide,0143-9144-03,6 mg/mL,INJECTION,SUBCUTANEOUS,ANDA215503,Hikma Pharmaceuticals USA Inc.,0143-9144,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,12/24/2024,N/A,ANDA,"3 SYRINGE, PLASTIC in 1 CARTON (0143-9144-03) / 3 mL in 1 SYRINGE, PLASTIC (0143-9144-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
Liraglutide,0480-3667-20,6 mg/mL,INJECTION,SUBCUTANEOUS,NDA022341,"Teva Pharmaceuticals USA, Inc.",0480-3667,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/24/2024,N/A,NDA AUTHORIZED GENERIC,"2 SYRINGE, PLASTIC in 1 CARTON (0480-3667-20) / 3 mL in 1 SYRINGE, PLASTIC (0480-3667-19)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
Liraglutide,0480-3667-22,6 mg/mL,INJECTION,SUBCUTANEOUS,NDA022341,"Teva Pharmaceuticals USA, Inc.",0480-3667,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/24/2024,N/A,NDA AUTHORIZED GENERIC,"3 SYRINGE, PLASTIC in 1 CARTON (0480-3667-22) / 3 mL in 1 SYRINGE, PLASTIC (0480-3667-19)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
Liraglutide,0480-7250-46,6 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA214568,"Teva Pharmaceuticals, Inc.",0480-7250,Liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,08/28/2025,09/30/2027,ANDA,"5 SYRINGE, PLASTIC in 1 CARTON (0480-7250-46) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,N/A
Liraglutide,14403-3400-1,18 mg/3mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA215503,"Hybio Pharmaceutical Co., Ltd. (Pingshan Factory)",14403-3400,Liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/21/2024,N/A,ANDA,"3 mL in 1 SYRINGE, PLASTIC (14403-3400-1)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2026
Liraglutide,14403-3400-3,18 mg/3mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA215503,"Hybio Pharmaceutical Co., Ltd. (Pingshan Factory)",14403-3400,Liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,12/24/2024,N/A,ANDA,"3 SYRINGE, PLASTIC in 1 CARTON (14403-3400-3) / 3 mL in 1 SYRINGE, PLASTIC (14403-3400-1)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2026
Liraglutide,14403-3400-2,18 mg/3mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA215503,"Hybio Pharmaceutical Co., Ltd. (Pingshan Factory)",14403-3400,Liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,12/24/2024,N/A,ANDA,"2 SYRINGE, PLASTIC in 1 CARTON (14403-3400-2) / 3 mL in 1 SYRINGE, PLASTIC (14403-3400-1)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2026
Liraglutide,50090-7501-0,6 mg/mL,INJECTION,SUBCUTANEOUS,NDA022341,A-S Medication Solutions,50090-7501,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/27/2025,N/A,NDA AUTHORIZED GENERIC,"3 SYRINGE, PLASTIC in 1 CARTON (50090-7501-0) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2026
liraglutide,69097-910-55,6 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA217234,Cipla USA Inc.,69097-910,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,ANDA,"5 SYRINGE, PLASTIC in 1 CARTON (69097-910-55) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
liraglutide,69097-910-68,6 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA217234,Cipla USA Inc.,69097-910,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,ANDA,"3 SYRINGE, PLASTIC in 1 CARTON (69097-910-68) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
LIRAGLUTIDE,69097-920-68,6 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA217590,Cipla USA Inc.,69097-920,LIRAGLUTIDE,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/22/2026,N/A,ANDA,"3 SYRINGE, PLASTIC in 1 CARTON (69097-920-68) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
LIRAGLUTIDE,69097-920-67,6 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,ANDA217590,Cipla USA Inc.,69097-920,LIRAGLUTIDE,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/22/2026,N/A,ANDA,"2 SYRINGE, PLASTIC in 1 CARTON (69097-920-67) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
Liraglutide,70377-094-53,6 mg/mL,INJECTION,SUBCUTANEOUS,ANDA215245,Biocon Pharma Inc.,70377-094,liraglutide,LIRAGLUTIDE,HUMAN PRESCRIPTION DRUG,04/25/2026,N/A,ANDA,"3 SYRINGE, PLASTIC in 1 CARTON (70377-094-53) / 3 mL in 1 SYRINGE, PLASTIC","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
