Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
LOMAIRA,10702-001-03,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (10702-001-03),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,10702-001-06,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,60 TABLET in 1 BOTTLE (10702-001-06),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,10702-001-09,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,90 TABLET in 1 BOTTLE (10702-001-09),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,10702-001-10,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,1000 TABLET in 1 BOTTLE (10702-001-10),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,10702-001-25,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,250 TABLET in 1 BOTTLE (10702-001-25),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,10702-001-50,8 mg/1,TABLET,ORAL,ANDA203495,"KVK-TECH, INC.",10702-001,Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,500 TABLET in 1 BOTTLE (10702-001-50),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2026
LOMAIRA,17224-840-21,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,21 TABLET in 1 BOTTLE (17224-840-21),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
LOMAIRA,17224-840-30,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (17224-840-30),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
LOMAIRA,17224-840-28,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,28 TABLET in 1 BOTTLE (17224-840-28),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
LOMAIRA,17224-840-60,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,60 TABLET in 1 BOTTLE (17224-840-60),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
LOMAIRA,17224-840-90,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,90 TABLET in 1 BOTTLE (17224-840-90),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
LOMAIRA,17224-840-42,8 mg/1,TABLET,ORAL,ANDA203495,"Calvin Scott & Co., Inc.",17224-840,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2016,N/A,ANDA,42 TABLET in 1 BOTTLE (17224-840-42),"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
