Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
WEGOVY,0169-4404-31,4 mg/1,TABLET,ORAL,NDA218316,"Novo Nordisk Pharmaceutical Industries, LP",0169-4404,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/06/2026,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0169-4404-31)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4409-31,9 mg/1,TABLET,ORAL,NDA218316,"Novo Nordisk Pharmaceutical Industries, LP",0169-4409,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/06/2026,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0169-4409-31)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4415-31,1.5 mg/1,TABLET,ORAL,NDA218316,"Novo Nordisk Pharmaceutical Industries, LP",0169-4415,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/06/2026,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0169-4415-31)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4415-92,1.5 mg/1,TABLET,ORAL,NDA218316,"Novo Nordisk Pharmaceutical Industries, LP",0169-4415,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/06/2026,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0169-4415-92)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,Yes,12/31/2027
WEGOVY,0169-4425-31,25 mg/1,TABLET,ORAL,NDA218316,"Novo Nordisk Pharmaceutical Industries, LP",0169-4425,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,01/06/2026,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0169-4425-31)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4501-14,1 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215256,"Novo Nordisk Pharmaceutical Industries, LP",0169-4501,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/05/2021,N/A,NDA,"4 SYRINGE, PLASTIC in 1 CARTON (0169-4501-14) / .5 mL in 1 SYRINGE, PLASTIC (0169-4501-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4505-14,.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215256,"Novo Nordisk Pharmaceutical Industries, LP",0169-4505,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/05/2021,N/A,NDA,"4 SYRINGE, PLASTIC in 1 CARTON (0169-4505-14) / .5 mL in 1 SYRINGE, PLASTIC (0169-4505-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4517-14,1.7 mg/.75mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215256,"Novo Nordisk Pharmaceutical Industries, LP",0169-4517,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/05/2021,N/A,NDA,"4 SYRINGE, PLASTIC in 1 CARTON (0169-4517-14) / .5 mL in 1 SYRINGE, PLASTIC (0169-4517-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4524-14,2.4 mg/.75mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215256,"Novo Nordisk Pharmaceutical Industries, LP",0169-4524,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/05/2021,N/A,NDA,"4 SYRINGE, PLASTIC in 1 CARTON (0169-4524-14) / .75 mL in 1 SYRINGE, PLASTIC (0169-4524-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
WEGOVY,0169-4525-14,.25 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215256,"Novo Nordisk Pharmaceutical Industries, LP",0169-4525,semaglutide,SEMAGLUTIDE,HUMAN PRESCRIPTION DRUG,06/05/2021,N/A,NDA,"4 SYRINGE, PLASTIC in 1 CARTON (0169-4525-14) / .5 mL in 1 SYRINGE, PLASTIC (0169-4525-01)","GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",N/A,No,12/31/2027
