Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Arnicare Arthritis,0220-9044-92,"3 [hp_C]/1, 6 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 3 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1",TABLET,ORAL,,Laboratoires Boiron,0220-9044,"ARNICA MONTANA, BENZOIC ACID, BRYONIA ALBA ROOT, MATRICARIA RECUTITA, SOLANUM DULCAMARA TOP, POTASSIUM IODIDE, PULSATILLA VULGARIS, RHODODENDRON AUREUM LEAF, TOXICODENDRON PUBESCENS LEAF",ARNICA MONTANA; BENZOIC ACID; BRYONIA ALBA ROOT; MATRICARIA RECUTITA; SOLANUM DULCAMARA TOP; POTASSIUM IODIDE; PULSATILLA VULGARIS; RHODODENDRON AUREUM LEAF; TOXICODENDRON PUBESCENS LEAF,HUMAN OTC DRUG,07/21/2026,N/A,UNAPPROVED HOMEOPATHIC,5 BLISTER PACK in 1 CARTON (0220-9044-92) / 20 TABLET in 1 BLISTER PACK,"Ammonium Ion Binding Activity [MoA], Nitrogen Binding Agent [EPC]",N/A,No,12/31/2027
Arnicare Arthritis,0220-9044-04,"3 [hp_C]/1, 6 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 3 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1",TABLET,ORAL,,Laboratoires Boiron,0220-9044,"ARNICA MONTANA, BENZOIC ACID, BRYONIA ALBA ROOT, MATRICARIA RECUTITA, SOLANUM DULCAMARA TOP, POTASSIUM IODIDE, PULSATILLA VULGARIS, RHODODENDRON AUREUM LEAF, TOXICODENDRON PUBESCENS LEAF",ARNICA MONTANA; BENZOIC ACID; BRYONIA ALBA ROOT; MATRICARIA RECUTITA; SOLANUM DULCAMARA TOP; POTASSIUM IODIDE; PULSATILLA VULGARIS; RHODODENDRON AUREUM LEAF; TOXICODENDRON PUBESCENS LEAF,HUMAN OTC DRUG,11/23/2007,N/A,UNAPPROVED HOMEOPATHIC,60 TABLET in 1 BOX (0220-9044-04),"Ammonium Ion Binding Activity [MoA], Nitrogen Binding Agent [EPC]",N/A,No,12/31/2027
Arnicare Arthritis,0220-9044-29,"3 [hp_C]/1, 6 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1, 12 [hp_C]/1, 3 [hp_C]/1, 12 [hp_C]/1, 6 [hp_C]/1",TABLET,ORAL,,Laboratoires Boiron,0220-9044,"ARNICA MONTANA, BENZOIC ACID, BRYONIA ALBA ROOT, MATRICARIA RECUTITA, SOLANUM DULCAMARA TOP, POTASSIUM IODIDE, PULSATILLA VULGARIS, RHODODENDRON AUREUM LEAF, TOXICODENDRON PUBESCENS LEAF",ARNICA MONTANA; BENZOIC ACID; BRYONIA ALBA ROOT; MATRICARIA RECUTITA; SOLANUM DULCAMARA TOP; POTASSIUM IODIDE; PULSATILLA VULGARIS; RHODODENDRON AUREUM LEAF; TOXICODENDRON PUBESCENS LEAF,HUMAN OTC DRUG,04/09/2021,N/A,UNAPPROVED HOMEOPATHIC,120 TABLET in 1 BOX (0220-9044-29),"Ammonium Ion Binding Activity [MoA], Nitrogen Binding Agent [EPC]",N/A,No,12/31/2027
Baby Tiny Cold Daytime and Nighttime,54973-3307-2,,KIT,,,Hyland's Inc.,54973-3307,"eupatorium perfoliatum flowering top, euphrasia stricta, gelsemium sempervirens root, potassium iodide, and matricaria recutita",,HUMAN OTC DRUG,08/06/2024,N/A,UNAPPROVED HOMEOPATHIC,"1 KIT in 1 CARTON (54973-3307-2) * 1 BOTTLE, PLASTIC in 1 CARTON (54973-3158-1) / 125 TABLET, SOLUBLE in 1 BOTTLE, PLASTIC * 1 BOTTLE, PLASTIC in 1 CARTON (54973-3252-1) / 125 TABLET in 1 BOTTLE, PLASTIC",N/A,N/A,No,12/31/2027
BHI Sinus,62795-1017-3,"6 [hp_X]/1, 6 [hp_X]/1, 6 [hp_X]/1, 8 [hp_X]/1, 8 [hp_X]/1, 4 [hp_X]/1, 6 [hp_X]/1",TABLET,ORAL,,MediNatura Inc,62795-1017,"EUPHORBIA RESINIFERA RESIN, GOLDENSEAL, POTASSIUM DICHROMATE, POTASSIUM IODIDE, PHOSPHORUS, PULSATILLA VULGARIS, and THUJA OCCIDENTALIS LEAFY TWIG",EUPHORBIA RESINIFERA RESIN; GOLDENSEAL; PHOSPHORUS; POTASSIUM DICHROMATE; POTASSIUM IODIDE; PULSATILLA VULGARIS; THUJA OCCIDENTALIS LEAFY TWIG,HUMAN OTC DRUG,01/01/2015,N/A,UNAPPROVED HOMEOPATHIC,1 BOTTLE in 1 CARTON (62795-1017-3) / 100 TABLET in 1 BOTTLE,N/A,N/A,No,12/31/2026
BLISTER HP,43406-0625-1,"30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL, 30 [hp_C]/mL",LIQUID,ORAL,,"Natural Creations, Inc.",43406-0625,"Juglans Cinerea Branch Bark/Root Bark, Potassium Iodide, Lycopodium Clavatum Spore, Mercury, Sodium Chloride, Nitric Acid, Phosphorus, Ranunculus Bulbosus, Toxicodendron Pubescens Leaf, Sepia Officinalis Juice, Thuja Occidentalis Leafy Twig.",JUGLANS CINEREA BRANCH BARK/ROOT BARK; LYCOPODIUM CLAVATUM SPORE; MERCURY; NITRIC ACID; PHOSPHORUS; POTASSIUM IODIDE; RANUNCULUS BULBOSUS; SEPIA OFFICINALIS JUICE; SODIUM CHLORIDE; THUJA OCCIDENTALIS LEAFY TWIG; TOXICODENDRON PUBESCENS LEAF,HUMAN OTC DRUG,06/01/2016,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43406-0625-1)",N/A,N/A,No,12/31/2026
BM Potassium iodide (Kali Iod) 6X,85816-1033-1,6 [hp_X]/60mg,TABLET,ORAL,,BM Private Limited,85816-1033,BM Potassium iodide (Kali Iod),POTASSIUM IODIDE,HUMAN OTC DRUG,06/01/2025,N/A,UNAPPROVED HOMEOPATHIC,"30000 mg in 1 BOTTLE, GLASS (85816-1033-1)",N/A,N/A,No,12/31/2026
D-12,58264-0012-1,"3 [hp_X]/mL, 3 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 5 [hp_X]/mL, 5 [hp_X]/mL, 3 [hp_X]/mL, 5 [hp_X]/mL, 6 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0012,"POTASSIUM IODIDE, CALCIUM IODIDE, ARSENIC TRIIODIDE, BARIUM CHLORIDE DIHYDRATE, NITROGLYCERIN, conium maculatum flowering top, Arnica montana, Phosphorus, and GOLD TRICHLORIDE",ARNICA MONTANA; ARSENIC TRIIODIDE; BARIUM CHLORIDE DIHYDRATE; CALCIUM IODIDE; CONIUM MACULATUM FLOWERING TOP; GOLD TRICHLORIDE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM IODIDE,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0012-1)","Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Vasodilation [PE]",N/A,No,12/31/2026
D-138,58264-0146-1,"1 [hp_X]/mL, 2 [hp_X]/mL, 1 [hp_X]/mL, 1 [hp_X]/mL, 3 [hp_X]/mL, 6 [hp_X]/mL, 4 [hp_X]/mL, 3 [hp_X]/mL, 6 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0146,"garlic, viscum album fruiting top, olea europaea flower bud, prunus dulcis flower, pyridoxine hydrochloride, cyanocobalamin, folic acid, potassium iodide, and cholesterol",CHOLESTEROL; CYANOCOBALAMIN; FOLIC ACID; GARLIC; OLEA EUROPAEA FLOWER BUD; POTASSIUM IODIDE; PRUNUS DULCIS FLOWER; PYRIDOXINE HYDROCHLORIDE; VISCUM ALBUM FRUITING TOP,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0146-1)","Allergens [CS], Analogs/Derivatives [Chemical/Ingredient], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Non-Standardized Food Allergenic Extract [EPC], Plant Proteins [CS], Vitamin B 12 [CS], Vitamin B 6 [Chemical/Ingredient], Vitamin B12 [EPC], Vitamin B6 Analog [EPC]",N/A,No,12/31/2026
D-86,58264-0092-1,"30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0092,"Arnica montana, Silicon dioxide, Sodium chloride, Lead acetate anhydrous, Selenicereus grandiflorus stem, Tribasic calcium phosphate, and Potassium iodide",ARNICA MONTANA; LEAD ACETATE ANHYDROUS; POTASSIUM IODIDE; SELENICEREUS GRANDIFLORUS STEM; SILICON DIOXIDE; SODIUM CHLORIDE; TRIBASIC CALCIUM PHOSPHATE,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0092-1)",N/A,N/A,No,12/31/2026
D-99,58264-0105-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 21 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 2 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0105,"atropa belladonna, nitroglycerin, lactic acid, unspecified form, scrophularia nodosa, aloe, radium bromide, potassium iodide, sus scrofa bone marrow, zinc, and citric acid monohydrate","ALOE; ATROPA BELLADONNA; CITRIC ACID MONOHYDRATE; LACTIC ACID, UNSPECIFIED FORM; NITROGLYCERIN; POTASSIUM IODIDE; RADIUM BROMIDE; SCROPHULARIA NODOSA; SUS SCROFA BONE MARROW; ZINC",HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0105-1)","Acidifying Activity [MoA], Acidifying Activity [MoA], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",N/A,No,12/31/2026
Embriva,85477-322-30,"2.5 mg/1, .15 mg/1, 125 mg/1, .0125 mg/1, 1.4 mg/1, 1 mg/1, 1 mg/1, 200 mg/1, 13 mg/1",TABLET,ORAL,,"Oncora Pharma, LLC",85477-322,"ASCORBIC ACID, CHOLECALCIFEROL, THIAMINE, PYRIDOXAL PHOSPHATE, FOLIC ACID, METHYLCOBALAMIN, CALCIUM CARBONATE, FERROUS GLUCONATE, POTASSIUM IODIDE",ASCORBIC ACID; CALCIUM CARBONATE; CHOLECALCIFEROL; FERROUS GLUCONATE; FOLIC ACID; METHYLCOBALAMIN; POTASSIUM IODIDE; PYRIDOXAL PHOSPHATE ANHYDROUS; THIAMINE,HUMAN PRESCRIPTION DRUG,08/08/2025,N/A,UNAPPROVED DRUG OTHER,"30 TABLET in 1 BOTTLE, PLASTIC (85477-322-30)","Ascorbic Acid [CS], Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Vitamin C [EPC], Vitamin D [CS], Vitamin D [EPC]",N/A,No,12/31/2026
Florraxyl (E),84460-903-30,,,,,Florrax Pharmaceutical,,,,,,N/A,,,N/A,N/A,N/A,
Gestyra,85477-922-30,"125 mg/1, 12.5 ug/1, 1.4 mg/1, 2.5 mg/1, 1 mg/1, 1000 ug/1, 200 mg/1, 13 mg/1, .15 mg/1",TABLET,ORAL,,Oncora Pharma LLC,85477-922,"ASCORBIC ACID, CHOLECALCIFEROL, THIAMINE, PYRIDOXAL PHOSPHATE, FOLIC ACID, METHYLCOBALAMIN, CALCIUM CARBONATE, FERROUS GLUCONATE, POTASSIUM IODIDE",ASCORBIC ACID; CALCIUM CARBONATE; CHOLECALCIFEROL; FERROUS GLUCONATE; FOLIC ACID; METHYLCOBALAMIN; POTASSIUM IODIDE; PYRIDOXAL PHOSPHATE ANHYDROUS; THIAMINE,HUMAN PRESCRIPTION DRUG,12/22/2025,N/A,UNAPPROVED DRUG OTHER,"30 TABLET in 1 BOTTLE, PLASTIC (85477-922-30)","Ascorbic Acid [CS], Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Vitamin C [EPC], Vitamin D [CS], Vitamin D [EPC]",N/A,No,12/31/2026
