Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Propylthiouracil,0480-9242-01,50 mg/1,TABLET,ORAL,ANDA080172,"Teva Pharmaceuticals, Inc.",0480-9242,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,07/10/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (0480-9242-01),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,33342-314-44,50 mg/1,TABLET,ORAL,ANDA208867,Macleods Pharmaceuticals Limited,33342-314,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,05/10/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (33342-314-44),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,33342-314-12,50 mg/1,TABLET,ORAL,ANDA208867,Macleods Pharmaceuticals Limited,33342-314,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,05/10/2023,N/A,ANDA,10 BLISTER PACK in 1 CARTON (33342-314-12) / 10 TABLET in 1 BLISTER PACK,"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,33342-314-11,50 mg/1,TABLET,ORAL,ANDA208867,Macleods Pharmaceuticals Limited,33342-314,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,05/10/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (33342-314-11),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,62135-606-90,50 mg/1,TABLET,ORAL,ANDA080016,"Chartwell RX, LLC",62135-606,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,12/19/2023,N/A,ANDA,90 TABLET in 1 BOTTLE (62135-606-90),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,67253-651-10,50 mg/1,TABLET,ORAL,NDA006188,"Endo USA, Inc.",67253-651,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,07/28/1947,N/A,NDA,100 TABLET in 1 BOTTLE (67253-651-10),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,67253-651-11,50 mg/1,TABLET,ORAL,NDA006188,"Endo USA, Inc.",67253-651,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,07/28/1947,07/31/2028,NDA,1000 TABLET in 1 BOTTLE (67253-651-11),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
Propylthiouracil,68084-964-25,50 mg/1,TABLET,ORAL,NDA006188,American Health Packaging,68084-964,Propylthiouracil,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,10/08/2015,N/A,NDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (68084-964-25) / 1 TABLET in 1 BLISTER PACK (68084-964-95)","Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2027
PROPYLTHIOURACIL,70752-171-10,50 mg/1,TABLET,ORAL,ANDA080154,QUAGEN PHARMACEUTICALS LLC,70752-171,PROPYLTHIOURACIL,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,03/18/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (70752-171-10),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
PROPYLTHIOURACIL,70752-171-11,50 mg/1,TABLET,ORAL,ANDA080154,QUAGEN PHARMACEUTICALS LLC,70752-171,PROPYLTHIOURACIL,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,03/18/2021,N/A,ANDA,1000 TABLET in 1 BOTTLE (70752-171-11),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
PROPYLTHIOURACIL,71335-2901-1,50 mg/1,TABLET,ORAL,ANDA080154,Bryant Ranch Prepack,71335-2901,PROPYLTHIOURACIL,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,11/11/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (71335-2901-1),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
PROPYLTHIOURACIL,72162-2072-1,50 mg/1,TABLET,ORAL,ANDA080154,Bryant Ranch Prepack,72162-2072,PROPYLTHIOURACIL,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,08/15/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (72162-2072-1),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
PROPYLTHIOURACIL,72162-2072-2,50 mg/1,TABLET,ORAL,ANDA080154,Bryant Ranch Prepack,72162-2072,PROPYLTHIOURACIL,PROPYLTHIOURACIL,HUMAN PRESCRIPTION DRUG,08/15/2023,N/A,ANDA,180 TABLET in 1 BOTTLE (72162-2072-2),"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",N/A,No,12/31/2026
