Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
"Aluminum Hydroxide, Magnesium Hydroxide and Simethicone",57237-316-31,"1200 mg/30mL, 1200 mg/30mL, 120 mg/30mL",SUSPENSION,ORAL,M001.15,"Rising Pharma Holdings, Inc.",57237-316,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,08/15/2023,N/A,OTC MONOGRAPH DRUG,"100 CUP, UNIT-DOSE in 1 BOX, UNIT-DOSE (57237-316-31) / 30 mL in 1 CUP, UNIT-DOSE (57237-316-03)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide and Simethicone",57237-324-31,"2400 mg/30mL, 2400 mg/30mL, 240 mg/30mL",SUSPENSION,ORAL,M001.15,"Rising Pharma Holdings, Inc.",57237-324,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/05/2023,N/A,OTC MONOGRAPH DRUG,"100 CUP, UNIT-DOSE in 1 BOX, UNIT-DOSE (57237-324-31) / 30 mL in 1 CUP, UNIT-DOSE (57237-324-03)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide and Simethicone",84415-010-01,"2400 mg/30mL, 2400 mg/30mL, 240 mg/30mL",SUSPENSION,ORAL,M001.15,Everpharm LLC,84415-010,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/16/2025,N/A,OTC MONOGRAPH DRUG,"100 CUP, UNIT-DOSE in 1 BOX, UNIT-DOSE (84415-010-01) / 30 mL in 1 CUP, UNIT-DOSE","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide and Simethicone",84415-017-01,"1200 mg/30mL, 1200 mg/30mL, 120 mg/30mL",SUSPENSION,ORAL,M001,Everpharm LLC,84415-017,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/16/2025,N/A,OTC MONOGRAPH DRUG,"100 CUP, UNIT-DOSE in 1 BOX, UNIT-DOSE (84415-017-01) / 30 mL in 1 CUP, UNIT-DOSE","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide, and Dimethicone",60687-888-76,"400 mg/5mL, 400 mg/5mL, 40 mg/5mL",SUSPENSION,ORAL,M002,American Health Packaging,60687-888,"Aluminum Hydroxide, Magnesium Hydroxide, and Dimethicone","ALUMINUM HYDROXIDE; DIMETHICONE, UNSPECIFIED; MAGNESIUM HYDROXIDE",HUMAN OTC DRUG,07/15/2025,N/A,OTC MONOGRAPH DRUG,"10 TRAY in 1 CASE (60687-888-76) / 10 CUP, UNIT-DOSE in 1 TRAY (60687-888-51) / 30 mL in 1 CUP, UNIT-DOSE (60687-888-45)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",0904-7557-73,"1200 mg/30mL, 1200 mg/30mL, 120 mg/30mL",SUSPENSION,ORAL,M001,Major Pharmaceuticals,0904-7557,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/07/2025,N/A,OTC MONOGRAPH DRUG,"10 TRAY in 1 CASE (0904-7557-73) / 10 CUP, UNIT-DOSE in 1 TRAY / 30 mL in 1 CUP, UNIT-DOSE (0904-7557-62)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone",60687-877-76,"200 mg/5mL, 200 mg/5mL, 20 mg/5mL",SUSPENSION,ORAL,M001,American Health Packaging,60687-877,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone","ALUMINUM HYDROXIDE; DIMETHICONE, UNSPECIFIED; MAGNESIUM HYDROXIDE",HUMAN OTC DRUG,06/01/2025,N/A,OTC MONOGRAPH DRUG,"10 TRAY in 1 CASE (60687-877-76) / 10 CUP, UNIT-DOSE in 1 TRAY (60687-877-51) / 30 mL in 1 CUP, UNIT-DOSE (60687-877-45)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Basic Care Loperamide Hydrochloride and Simethicone,72288-001-62,"2 mg/1, 125 mg/1",TABLET,ORAL,ANDA209837,Amazon.com Services LLC,72288-001,"loperamide hydrochloride, simethicone",DIMETHICONE; LOPERAMIDE HYDROCHLORIDE,HUMAN OTC DRUG,06/24/2020,N/A,ANDA,24 BLISTER PACK in 1 CARTON (72288-001-62) / 1 TABLET in 1 BLISTER PACK,"Opioid Agonist [EPC], Opioid Agonists [MoA], Skin Barrier Activity [PE]",N/A,No,12/31/2026
Childrens Simethicone Drops,0121-1095-03,40 mg/.6mL,LIQUID,ORAL,M002,"PAI Holdings, LLC dba PAI Pharma",0121-1095,Childrens Simethicone Drops,DIMETHICONE,HUMAN OTC DRUG,06/08/2026,N/A,OTC MONOGRAPH DRUG,"25 SYRINGE, PLASTIC in 1 CARTON (0121-1095-03) / .6 mL in 1 SYRINGE, PLASTIC (0121-1095-01)",Skin Barrier Activity [PE],N/A,No,12/31/2027
Dimethicone,37808-496-34,12 mg/g,LOTION,TOPICAL,M016,H E B,37808-496,Dimethicone,DIMETHICONE,HUMAN OTC DRUG,06/05/2023,N/A,OTC MONOGRAPH DRUG,227 g in 1 TUBE (37808-496-34),Skin Barrier Activity [PE],N/A,No,12/31/2027
