Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Tirosint,71858-0005-4,13 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0005,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,12/01/2018,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0005-4) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,No,12/31/2027
Tirosint,71858-0005-2,13 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0005,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2025,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0005-2) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,Yes,12/31/2027
Tirosint,71858-0010-4,25 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0010,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,12/01/2018,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0010-4) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,No,12/31/2027
Tirosint,71858-0010-2,25 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0010,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2025,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0010-2) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,Yes,12/31/2027
Tirosint,71858-0012-4,37.5 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0012,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2023,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0012-4) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,No,12/31/2027
Tirosint,71858-0012-2,37.5 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0012,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2025,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0012-2) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,Yes,12/31/2027
Tirosint,71858-0013-4,44 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0013,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2023,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0013-4) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,No,12/31/2027
Tirosint,71858-0013-2,44 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0013,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2025,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0013-2) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,Yes,12/31/2027
Tirosint,71858-0015-4,50 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0015,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,12/01/2018,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0015-4) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,No,12/31/2027
Tirosint,71858-0015-2,50 ug/1,CAPSULE,ORAL,NDA021924,IBSA Pharma Inc.,71858-0015,levothyroxine sodium,LEVOTHYROXINE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2025,N/A,NDA,3 BLISTER PACK in 1 CARTON (71858-0015-2) / 10 CAPSULE in 1 BLISTER PACK,"Thyroxine [CS], l-Thyroxine [EPC]",N/A,Yes,12/31/2027
