"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Levothyroxine Sodium","60687-486-01",".088 mg/1","TABLET","ORAL","ANDA209713","American Health Packaging","60687-486","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","10/28/2019","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-486-01)  / 1 TABLET in 1 BLISTER PACK (60687-486-11)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine Sodium","63323-649-07","100 ug/5mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","NDA202231","Fresenius Kabi USA, LLC","63323-649","LEVOTHYROXINE SODIUM ANHYDROUS","LEVOTHYROXINE SODIUM ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/24/2011","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (63323-649-07)  / 5 mL in 1 VIAL, SINGLE-DOSE","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine sodium","0480-8718-10","175 ug/1","TABLET","ORAL","ANDA207588","Teva Pharmaceuticals, Inc.","0480-8718","Levothyroxine sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","09/21/2022","11/30/2026","ANDA","1000 TABLET in 1 BOTTLE (0480-8718-10)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","N/A"
"Levothyroxine sodium","0480-8718-98","175 ug/1","TABLET","ORAL","ANDA207588","Teva Pharmaceuticals, Inc.","0480-8718","Levothyroxine sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","09/21/2022","11/30/2026","ANDA","90 TABLET in 1 BOTTLE (0480-8718-98)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","N/A"
"Levothyroxine Sodium","50090-6984-0",".088 mg/1","TABLET","ORAL","ANDA209713","A-S Medication Solutions","50090-6984","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","12/26/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (50090-6984-0)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine Sodium","63323-647-10","200 ug/5mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","NDA202231","Fresenius Kabi USA, LLC","63323-647","LEVOTHYROXINE SODIUM ANHYDROUS","LEVOTHYROXINE SODIUM ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/24/2011","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (63323-647-10)  / 5 mL in 1 VIAL, SINGLE-DOSE","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine Sodium","63323-648-10","500 ug/5mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","NDA202231","Fresenius Kabi USA, LLC","63323-648","LEVOTHYROXINE SODIUM ANHYDROUS","LEVOTHYROXINE SODIUM ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/24/2011","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (63323-648-10)  / 5 mL in 1 VIAL, SINGLE-DOSE","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine Sodium","63323-648-94","500 ug/5mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","NDA202231","Fresenius Kabi USA, LLC","63323-648","LEVOTHYROXINE SODIUM ANHYDROUS","LEVOTHYROXINE SODIUM ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/24/2011","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (63323-648-94)  / 5 mL in 1 VIAL, SINGLE-DOSE","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine sodium","67296-1908-3","137 ug/1","TABLET","ORAL","ANDA212399","RedPharm Drug, Inc","67296-1908","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","11/25/2020","N/A","ANDA","30 TABLET in 1 BOTTLE (67296-1908-3)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026"
"Levothyroxine sodium","68788-7945-1","125 ug/1","TABLET","ORAL","ANDA212399","Preferred Pharmaceuticals Inc.","68788-7945","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","06/28/2021","N/A","ANDA","100 TABLET in 1 BOTTLE (68788-7945-1)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2027"
"Levothyroxine sodium","68788-7945-3","125 ug/1","TABLET","ORAL","ANDA212399","Preferred Pharmaceuticals Inc.","68788-7945","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","06/28/2021","N/A","ANDA","30 TABLET in 1 BOTTLE (68788-7945-3)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2027"
"Levothyroxine sodium","68788-7945-9","125 ug/1","TABLET","ORAL","ANDA212399","Preferred Pharmaceuticals Inc.","68788-7945","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","06/28/2021","N/A","ANDA","90 TABLET in 1 BOTTLE (68788-7945-9)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2027"
