Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Ezetimibe,0781-5690-92,10 mg/1,TABLET,ORAL,ANDA203931,Sandoz Inc,0781-5690,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,06/12/2017,N/A,ANDA,90 TABLET in 1 BOTTLE (0781-5690-92),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,0781-5690-31,10 mg/1,TABLET,ORAL,ANDA203931,Sandoz Inc,0781-5690,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,06/12/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (0781-5690-31),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,0781-5690-05,10 mg/1,TABLET,ORAL,ANDA203931,Sandoz Inc,0781-5690,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,06/12/2017,N/A,ANDA,500 TABLET in 1 BOTTLE (0781-5690-05),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,0904-7103-10,10 mg/1,TABLET,ORAL,ANDA209234,Major Pharmaceuticals,0904-7103,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,08/25/2023,08/31/2027,ANDA,20 BLISTER PACK in 1 CARTON (0904-7103-10) / 1 TABLET in 1 BLISTER PACK,"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,N/A
Ezetimibe,0904-7103-04,10 mg/1,TABLET,ORAL,ANDA209234,Major Pharmaceuticals,0904-7103,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,12/23/2017,03/31/2027,ANDA,30 BLISTER PACK in 1 CARTON (0904-7103-04) / 1 TABLET in 1 BLISTER PACK,"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,N/A
Ezetimibe,10135-787-05,10 mg/1,TABLET,ORAL,ANDA215693,"Marlex Pharmaceuticals, Inc.",10135-787,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,01/01/2024,N/A,ANDA,500 TABLET in 1 BOTTLE (10135-787-05),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,10135-787-30,10 mg/1,TABLET,ORAL,ANDA215693,"Marlex Pharmaceuticals, Inc.",10135-787,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,01/01/2024,N/A,ANDA,30 TABLET in 1 BOTTLE (10135-787-30),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,10135-787-90,10 mg/1,TABLET,ORAL,ANDA215693,"Marlex Pharmaceuticals, Inc.",10135-787,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,01/01/2024,N/A,ANDA,90 TABLET in 1 BOTTLE (10135-787-90),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,16714-813-01,10 mg/1,TABLET,ORAL,ANDA209838,NorthStar Rx LLC,16714-813,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,ANDA,30 TABLET in 1 BOTTLE (16714-813-01),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
Ezetimibe,16714-813-02,10 mg/1,TABLET,ORAL,ANDA209838,NorthStar Rx LLC,16714-813,Ezetimibe,EZETIMIBE,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,ANDA,90 TABLET in 1 BOTTLE (16714-813-02),"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC]",N/A,No,12/31/2026
