Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Pravastatin Sodium,0093-0771-10,10 mg/1,TABLET,ORAL,ANDA076056,"Teva Pharmaceuticals USA, Inc.",0093-0771,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,03/07/2008,09/30/2026,ANDA,1000 TABLET in 1 BOTTLE (0093-0771-10),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
Pravastatin Sodium,0093-7201-10,20 mg/1,TABLET,ORAL,ANDA076056,"Teva Pharmaceuticals USA, Inc.",0093-7201,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,04/25/2006,12/31/2026,ANDA,1000 TABLET in 1 BOTTLE (0093-7201-10),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
Pravastatin Sodium,0093-7202-98,40 mg/1,TABLET,ORAL,ANDA076056,"Teva Pharmaceuticals USA, Inc.",0093-7202,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,04/25/2006,09/30/2026,ANDA,90 TABLET in 1 BOTTLE (0093-7202-98),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
Pravastatin Sodium,0093-7202-10,40 mg/1,TABLET,ORAL,ANDA076056,"Teva Pharmaceuticals USA, Inc.",0093-7202,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,04/25/2006,09/30/2026,ANDA,1000 TABLET in 1 BOTTLE (0093-7202-10),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
Pravastatin Sodium,0480-7270-10,80 mg/1,TABLET,ORAL,ANDA077793,"Teva Pharmaceuticals, Inc.",0480-7270,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,03/20/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (0480-7270-10),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,0480-7270-98,80 mg/1,TABLET,ORAL,ANDA077793,"Teva Pharmaceuticals, Inc.",0480-7270,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/09/2023,N/A,ANDA,90 TABLET in 1 BOTTLE (0480-7270-98),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
PRAVASTATIN SODIUM,0615-8539-39,10 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8539,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/19/2024,10/31/2026,ANDA,30 TABLET in 1 BLISTER PACK (0615-8539-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8540-05,20 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8540,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/18/2024,11/30/2026,ANDA,15 TABLET in 1 BLISTER PACK (0615-8540-05),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8540-39,20 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8540,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/18/2024,11/30/2026,ANDA,30 TABLET in 1 BLISTER PACK (0615-8540-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8541-39,40 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8541,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/19/2024,11/30/2026,ANDA,30 TABLET in 1 BLISTER PACK (0615-8541-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8541-05,40 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8541,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/19/2024,11/30/2026,ANDA,15 TABLET in 1 BLISTER PACK (0615-8541-05),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8542-39,80 mg/1,TABLET,ORAL,ANDA077987,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8542,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,11/13/2024,11/30/2026,ANDA,30 TABLET in 1 BLISTER PACK (0615-8542-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,N/A
PRAVASTATIN SODIUM,0615-8618-39,10 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8618,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/18/2026,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8618-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0615-8619-05,20 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8619,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/18/2026,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8619-05),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0615-8619-39,20 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8619,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/18/2026,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8619-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0615-8620-39,40 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8620,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/13/2026,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8620-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0615-8620-05,40 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8620,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/13/2026,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8620-05),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0615-8621-39,80 mg/1,TABLET,ORAL,ANDA076341,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8621,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,02/11/2026,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8621-39),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0904-5891-61,10 mg/1,TABLET,ORAL,ANDA076341,Major Pharmaceuticals,0904-5891,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,07/18/2011,N/A,ANDA,"100 BLISTER PACK in 1 BOX, UNIT-DOSE (0904-5891-61) / 1 TABLET in 1 BLISTER PACK","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0904-5892-61,20 mg/1,TABLET,ORAL,ANDA076341,Major Pharmaceuticals,0904-5892,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,07/18/2011,N/A,ANDA,"100 BLISTER PACK in 1 BOX, UNIT-DOSE (0904-5892-61) / 1 TABLET in 1 BLISTER PACK","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
PRAVASTATIN SODIUM,0904-5893-61,40 mg/1,TABLET,ORAL,ANDA076341,Major Pharmaceuticals,0904-5893,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,07/18/2011,N/A,ANDA,"100 BLISTER PACK in 1 BOX, UNIT-DOSE (0904-5893-61) / 1 TABLET in 1 BLISTER PACK","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Pravastatin Sodium,16714-558-02,10 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-558,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,500 TABLET in 1 BOTTLE (16714-558-02),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,16714-558-01,10 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-558,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (16714-558-01),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,16714-559-01,20 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-559,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (16714-559-01),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,16714-559-02,20 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-559,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,500 TABLET in 1 BOTTLE (16714-559-02),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,16714-560-02,40 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-560,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,500 TABLET in 1 BOTTLE (16714-560-02),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Pravastatin Sodium,16714-560-01,40 mg/1,TABLET,ORAL,ANDA077987,NorthStar RxLLC,16714-560,Pravastatin Sodium,PRAVASTATIN SODIUM,HUMAN PRESCRIPTION DRUG,08/12/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (16714-560-01),"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
