Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Rosuvastatin Calcium,0615-8532-39,5 mg/1,"TABLET, FILM COATED",ORAL,ANDA079170,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8532,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,09/18/2024,N/A,ANDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8532-39)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Rosuvastatin Calcium,0615-8533-39,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA079170,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8533,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,09/16/2024,N/A,ANDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8533-39)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Rosuvastatin Calcium,0615-8534-05,20 mg/1,"TABLET, FILM COATED",ORAL,ANDA079170,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8534,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,09/13/2024,N/A,ANDA,"15 TABLET, FILM COATED in 1 BLISTER PACK (0615-8534-05)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Rosuvastatin Calcium,0615-8534-39,20 mg/1,"TABLET, FILM COATED",ORAL,ANDA079170,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8534,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,09/13/2024,N/A,ANDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8534-39)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Rosuvastatin Calcium,0615-8535-39,40 mg/1,"TABLET, FILM COATED",ORAL,ANDA079170,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8535,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,09/18/2024,N/A,ANDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8535-39)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2026
Rosuvastatin Calcium,13668-179-90,5 mg/1,"TABLET, COATED",ORAL,ANDA201619,Torrent Pharmaceuticals Limited,13668-179,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,"90 TABLET, COATED in 1 BOTTLE (13668-179-90)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Rosuvastatin Calcium,13668-179-30,5 mg/1,"TABLET, COATED",ORAL,ANDA201619,Torrent Pharmaceuticals Limited,13668-179,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,"30 TABLET, COATED in 1 BOTTLE (13668-179-30)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Rosuvastatin Calcium,13668-179-05,5 mg/1,"TABLET, COATED",ORAL,ANDA201619,Torrent Pharmaceuticals Limited,13668-179,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,"500 TABLET, COATED in 1 BOTTLE (13668-179-05)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Rosuvastatin Calcium,13668-180-90,10 mg/1,"TABLET, COATED",ORAL,ANDA201619,Torrent Pharmaceuticals Limited,13668-180,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,"90 TABLET, COATED in 1 BOTTLE (13668-180-90)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Rosuvastatin Calcium,13668-180-30,10 mg/1,"TABLET, COATED",ORAL,ANDA201619,Torrent Pharmaceuticals Limited,13668-180,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,"30 TABLET, COATED in 1 BOTTLE (13668-180-30)","HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
