Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
BOTOX,0023-1145-01,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-1145,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,12/15/1989,N/A,BLA,"1 VIAL in 1 CARTON (0023-1145-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX,0023-1145-02,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-1145,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,12/15/1989,N/A,BLA,"1 VIAL in 1 CARTON (0023-1145-02) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,Yes,12/31/2027
BOTOX,0023-3921-02,200 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-3921,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,01/11/2010,N/A,BLA,"1 VIAL in 1 CARTON (0023-3921-02) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX,0023-3921-03,200 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-3921,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,01/11/2010,N/A,BLA,"1 VIAL in 1 CARTON (0023-3921-03) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,Yes,12/31/2027
BOTOX,85766-155-02,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,Sportpharm LLC,85766-155,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,02/03/2026,N/A,BLA,"1 VIAL in 1 CARTON (85766-155-02) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX,85766-155-01,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,BLA103000,Sportpharm LLC,85766-155,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,02/03/2026,N/A,BLA,"1 VIAL in 1 CARTON (85766-155-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX Cosmetic,0023-3919-50,50 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-3919,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,07/15/2008,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0023-3919-50) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX Cosmetic,0023-3919-51,50 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-3919,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,07/15/2008,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0023-3919-51) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,Yes,12/31/2027
BOTOX Cosmetic,0023-9232-01,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-9232,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,05/20/2008,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0023-9232-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
BOTOX Cosmetic,0023-9232-02,100 [USP'U]/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,BLA103000,"Allergan, Inc.",0023-9232,onabotulinumtoxinA,BOTULINUM TOXIN TYPE A,HUMAN PRESCRIPTION DRUG,05/20/2008,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0023-9232-02) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS","Acetylcholine Release Inhibitor [EPC], Acetylcholine Release Inhibitors [MoA], Neuromuscular Blockade [PE], Neuromuscular Blocker [EPC]",N/A,No,12/31/2027
