Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
HEMANGEOL,64370-375-01,4.28 mg/mL,SOLUTION,ORAL,NDA205410,"Pierre Fabre Pharmaceuticals, Inc.",64370-375,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/14/2014,09/30/2028,NDA,"1 BOTTLE, GLASS in 1 CARTON (64370-375-01) / 120 mL in 1 BOTTLE, GLASS","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,N/A
HEMANGEOL,64370-375-50,4.28 mg/mL,SOLUTION,ORAL,NDA205410,"Pierre Fabre Pharmaceuticals, Inc.",64370-375,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/14/2014,09/30/2028,NDA,"1 BOTTLE, GLASS in 1 CARTON (64370-375-50) / 50 mL in 1 BOTTLE, GLASS","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,N/A
HEMANGEOL,71863-132-50,4.28 mg/mL,SOLUTION,ORAL,NDA205410,"Eton Pharmaceuticals, Inc.",71863-132,Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/16/2026,N/A,NDA,50 mL in 1 CONTAINER (71863-132-50),"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
HEMANGEOL,71863-132-51,4.28 mg/mL,SOLUTION,ORAL,NDA205410,"Eton Pharmaceuticals, Inc.",71863-132,Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/27/2026,N/A,NDA,50 mL in 1 CONTAINER (71863-132-51),"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,Yes,12/31/2027
HEMANGEOL,71863-132-12,4.28 mg/mL,SOLUTION,ORAL,NDA205410,"Eton Pharmaceuticals, Inc.",71863-132,Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/16/2026,N/A,NDA,120 mL in 1 CONTAINER (71863-132-12),"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
INDERAL,62559-520-30,60 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA018553,"ANI Pharmaceuticals, Inc.",62559-520,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/05/2024,N/A,NDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62559-520-30)","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
INDERAL,62559-520-01,60 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA018553,"ANI Pharmaceuticals, Inc.",62559-520,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,NDA,"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62559-520-01)","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
INDERAL,62559-521-30,80 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA018553,"ANI Pharmaceuticals, Inc.",62559-521,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/05/2024,N/A,NDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62559-521-30)","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
INDERAL,62559-521-01,80 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA018553,"ANI Pharmaceuticals, Inc.",62559-521,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,NDA,"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62559-521-01)","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
INDERAL,62559-522-01,120 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA018553,"ANI Pharmaceuticals, Inc.",62559-522,propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,NDA,"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (62559-522-01)","Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
