Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
MAXALT,78206-142-01,10 mg/1,TABLET,ORAL,NDA020864,Organon LLC,78206-142,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,06/01/2021,N/A,NDA,18 POUCH in 1 CARTON (78206-142-01) / 1 TABLET in 1 POUCH (78206-142-99),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
MAXALT-MLT,78206-143-01,10 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,NDA020865,Organon LLC,78206-143,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,06/01/2021,N/A,NDA,"6 CONTAINER in 1 CARTON (78206-143-01) / 3 POUCH in 1 CONTAINER / 1 BLISTER PACK in 1 POUCH (78206-143-99) / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
RIZAFILM,35781-0600-8,10 mg/1,FILM,ORAL,NDA205394,Gensco Laboratories LLC,35781-0600,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,04/27/2026,N/A,NDA,18 POUCH in 1 CARTON (35781-0600-8) / 1 FILM in 1 POUCH (35781-0600-1),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
RIZAFILM,35781-0605-8,5 mg/1,FILM,ORAL,NDA205394,Gensco Laboratories LLC,35781-0605,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,04/27/2026,N/A,NDA,18 POUCH in 1 CARTON (35781-0605-8) / 1 FILM in 1 POUCH (35781-0605-1),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
RIZAFILM,50090-8038-0,10 mg/1,FILM,ORAL,NDA205394,A-S Medication Solutions,50090-8038,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,08/26/2026,N/A,NDA,3 FILM in 1 BOTTLE (50090-8038-0),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
RIZAFILM,50090-8038-1,10 mg/1,FILM,ORAL,NDA205394,A-S Medication Solutions,50090-8038,rizatriptan benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,08/26/2026,N/A,NDA,9 FILM in 1 BOTTLE (50090-8038-1),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
Rizatriptan Benzoate,0093-7471-43,5 mg/1,TABLET,ORAL,ANDA077263,"Teva Pharmaceuticals USA, Inc.",0093-7471,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,02/12/2013,N/A,ANDA,18 BLISTER PACK in 1 BOX (0093-7471-43) / 1 TABLET in 1 BLISTER PACK (0093-7471-19),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,0093-7472-43,10 mg/1,TABLET,ORAL,ANDA077263,"Teva Pharmaceuticals USA, Inc.",0093-7472,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,02/12/2013,N/A,ANDA,18 BLISTER PACK in 1 BOX (0093-7472-43) / 1 TABLET in 1 BLISTER PACK (0093-7472-19),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-268-91,5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-268,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"3 BLISTER PACK in 1 CARTON (29300-268-91) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-268-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-268-21,5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-268,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"4 BLISTER PACK in 1 CARTON (29300-268-21) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-268-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-268-81,5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-268,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"6 BLISTER PACK in 1 CARTON (29300-268-81) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-268-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-269-81,10 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-269,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"6 BLISTER PACK in 1 CARTON (29300-269-81) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-269-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-269-91,10 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-269,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"3 BLISTER PACK in 1 CARTON (29300-269-91) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-269-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-269-21,10 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA207835,"Unichem Pharmaceuticals (USA), Inc.",29300-269,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,"4 BLISTER PACK in 1 CARTON (29300-269-21) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (29300-269-31)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-316-21,5 mg/1,TABLET,ORAL,ANDA207836,"Unichem Pharmaceuticals (USA), Inc.",29300-316,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,4 BLISTER PACK in 1 CARTON (29300-316-21) / 3 TABLET in 1 BLISTER PACK (29300-316-31),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-316-81,5 mg/1,TABLET,ORAL,ANDA207836,"Unichem Pharmaceuticals (USA), Inc.",29300-316,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,6 BLISTER PACK in 1 CARTON (29300-316-81) / 3 TABLET in 1 BLISTER PACK (29300-316-31),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Rizatriptan Benzoate,29300-317-81,10 mg/1,TABLET,ORAL,ANDA207836,"Unichem Pharmaceuticals (USA), Inc.",29300-317,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,ANDA,6 BLISTER PACK in 1 CARTON (29300-317-81) / 3 TABLET in 1 BLISTER PACK (29300-317-31),"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
