Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
IMITREX,0173-0478-00,6 mg/.5mL,INJECTION,SUBCUTANEOUS,NDA020080,GlaxoSmithKline LLC,0173-0478,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,01/27/1997,N/A,NDA,2 SYRINGE in 1 CARTON (0173-0478-00) / .5 mL in 1 SYRINGE,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0479-00,6 mg/.5mL,INJECTION,SUBCUTANEOUS,NDA020080,GlaxoSmithKline LLC,0173-0479,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,01/23/1997,N/A,NDA,2 SYRINGE in 1 PACKAGE (0173-0479-00) / .5 mL in 1 SYRINGE,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0735-00,25 mg/1,"TABLET, FILM COATED",ORAL,NDA020132,GlaxoSmithKline LLC,0173-0735,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,12/17/2003,N/A,NDA,"1 CARTON in 1 CARTON (0173-0735-00) / 1 BLISTER PACK in 1 CARTON / 9 TABLET, FILM COATED in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0736-01,50 mg/1,"TABLET, FILM COATED",ORAL,NDA020132,GlaxoSmithKline LLC,0173-0736,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,12/17/2003,N/A,NDA,"1 CARTON in 1 CARTON (0173-0736-01) / 1 BLISTER PACK in 1 CARTON / 9 TABLET, FILM COATED in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0737-01,100 mg/1,"TABLET, FILM COATED",ORAL,NDA020132,GlaxoSmithKline LLC,0173-0737,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,12/19/2003,N/A,NDA,"1 CARTON in 1 CARTON (0173-0737-01) / 1 BLISTER PACK in 1 CARTON / 9 TABLET, FILM COATED in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0739-00,4 mg/.5mL,INJECTION,SUBCUTANEOUS,NDA020080,GlaxoSmithKline LLC,0173-0739,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,04/06/2006,N/A,NDA,2 SYRINGE in 1 PACKAGE (0173-0739-00) / .5 mL in 1 SYRINGE,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX,0173-0739-02,4 mg/.5mL,INJECTION,SUBCUTANEOUS,NDA020080,GlaxoSmithKline LLC,0173-0739,sumatriptan,SUMATRIPTAN SUCCINATE,HUMAN PRESCRIPTION DRUG,04/06/2006,N/A,NDA,2 SYRINGE in 1 CARTON (0173-0739-02) / .5 mL in 1 SYRINGE,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
IMITREX (E),61919-408-09,,,,,DIRECT RX,,,,,,N/A,,,N/A,N/A,N/A,
IMITREX (U),61919-950-09,,,,,DIRECTRX,,,,,,N/A,,,N/A,N/A,N/A,
Migranow,59088-083-00,,KIT,,,PureTek Corporation,59088-083,"sumatriptan succinate, camphor, menthol",,HUMAN PRESCRIPTION DRUG,04/18/2016,N/A,UNAPPROVED DRUG OTHER,"1 KIT in 1 PACKAGE (59088-083-00) * 9 BLISTER PACK in 1 CARTON (55111-292-09) / 9 TABLET in 1 BLISTER PACK * 85 g in 1 BOTTLE, WITH APPLICATOR (59088-283-07)",N/A,N/A,No,12/31/2026
