Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Brimonidine Tartrate and Timolol Maleate,0781-7186-70,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA091087,Sandoz Inc,0781-7186,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,04/13/2022,N/A,ANDA,1 BOTTLE in 1 CARTON (0781-7186-70) / 10 mL in 1 BOTTLE,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,0781-7186-85,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA091087,Sandoz Inc,0781-7186,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,04/13/2022,N/A,ANDA,1 BOTTLE in 1 CARTON (0781-7186-85) / 15 mL in 1 BOTTLE,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,0781-7186-75,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA091087,Sandoz Inc,0781-7186,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,04/13/2022,N/A,ANDA,1 BOTTLE in 1 CARTON (0781-7186-75) / 5 mL in 1 BOTTLE,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,0832-1425-10,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215598,"Upsher-Smith Laboratories, LLC",0832-1425,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,01/09/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (0832-1425-10) / 10 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,0832-1425-05,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215598,"Upsher-Smith Laboratories, LLC",0832-1425,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,01/09/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (0832-1425-05) / 5 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,0832-1425-15,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215598,"Upsher-Smith Laboratories, LLC",0832-1425,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,10/20/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (0832-1425-15) / 15 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
Brimonidine Tartrate and Timolol Maleate,46708-706-05,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215230,Alembic Pharmaceuticals Limited,46708-706,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,08/25/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (46708-706-05) / 5 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2026
Brimonidine Tartrate and Timolol Maleate,46708-706-15,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215230,Alembic Pharmaceuticals Limited,46708-706,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,08/25/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (46708-706-15) / 15 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2026
Brimonidine Tartrate and Timolol Maleate,46708-706-10,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215230,Alembic Pharmaceuticals Limited,46708-706,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,08/25/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (46708-706-10) / 10 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2026
Brimonidine Tartrate and Timolol Maleate,62332-706-05,"2 mg/mL, 5 mg/mL",SOLUTION/ DROPS,OPHTHALMIC,ANDA215230,Alembic Pharmaceuticals Inc.,62332-706,Brimonidine Tartrate and Timolol Maleate,BRIMONIDINE TARTRATE; TIMOLOL MALEATE,HUMAN PRESCRIPTION DRUG,08/25/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (62332-706-05) / 5 mL in 1 BOTTLE, DROPPER","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Antagonists [MoA], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Blocker [EPC]",N/A,No,12/31/2027
