Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Eprontia,52652-9001-1,25 mg/mL,SOLUTION,ORAL,NDA214679,"Azurity Pharmaceuticals, Inc.",52652-9001,Topiramate,TOPIRAMATE,HUMAN PRESCRIPTION DRUG,12/06/2021,N/A,NDA,473 mL in 1 BOTTLE (52652-9001-1),"Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",N/A,No,12/31/2027
Eprontia,52652-9001-3,25 mg/mL,SOLUTION,ORAL,NDA214679,"Azurity Pharmaceuticals, Inc.",52652-9001,Topiramate,TOPIRAMATE,HUMAN PRESCRIPTION DRUG,01/02/2023,N/A,NDA,1 BOTTLE in 1 CARTON (52652-9001-3) / 120 mL in 1 BOTTLE,"Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",N/A,No,12/31/2027
Eprontia,52652-9001-2,25 mg/mL,SOLUTION,ORAL,NDA214679,"Azurity Pharmaceuticals, Inc.",52652-9001,Topiramate,TOPIRAMATE,HUMAN PRESCRIPTION DRUG,01/02/2023,N/A,NDA,1 BOTTLE in 1 CARTON (52652-9001-2) / 240 mL in 1 BOTTLE,"Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",N/A,No,12/31/2027
Phentermine and topiramate,0480-2299-56,"11.25 mg/1, 69 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,ANDA204982,"Teva Pharmaceuticals, Inc.",0480-2299,Phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,05/07/2025,N/A,ANDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0480-2299-56)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
Phentermine and topiramate,0480-3295-56,"15 mg/1, 92 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,ANDA204982,"Teva Pharmaceuticals, Inc.",0480-3295,Phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,05/07/2025,N/A,ANDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0480-3295-56)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
Phentermine and topiramate,0480-3296-56,"7.5 mg/1, 46 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,ANDA204982,"Teva Pharmaceuticals, Inc.",0480-3296,Phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,05/07/2025,N/A,ANDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0480-3296-56)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
Phentermine and topiramate,0480-3297-56,"3.75 mg/1, 23 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,ANDA204982,"Teva Pharmaceuticals, Inc.",0480-3297,Phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,05/07/2025,N/A,ANDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0480-3297-56)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
phentermine and topiramate,66993-780-30,"3.75 mg/1, 23 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,NDA022580,Prasco Laboratories,66993-780,phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,06/01/2025,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (66993-780-30)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
phentermine and topiramate,66993-781-30,"7.5 mg/1, 46 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,NDA022580,Prasco Laboratories,66993-781,phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,06/01/2025,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, UNIT-DOSE (66993-781-30)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
phentermine and topiramate,66993-782-30,"11.25 mg/1, 69 mg/1","CAPSULE, EXTENDED RELEASE",ORAL,NDA022580,Prasco Laboratories,66993-782,phentermine and topiramate,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,HUMAN PRESCRIPTION DRUG,06/01/2025,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (66993-782-30)","Appetite Suppression [PE], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",CIV,No,12/31/2027
