Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
zolmiptriptan,68462-499-76,2.5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA202560,"Glenmark Pharmaceuticals Inc., USA",68462-499,zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/14/2013,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (68462-499-76) / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (68462-499-40)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
zolmiptriptan,68462-500-33,5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA202560,"Glenmark Pharmaceuticals Inc., USA",68462-500,zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/14/2013,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (68462-500-33) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (68462-500-40)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
Zolmitriptan,16571-803-16,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA207021,"Rising Pharma Holdings, Inc.",16571-803,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/11/2016,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (16571-803-16) / 6 TABLET, FILM COATED in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Zolmitriptan,16571-804-13,5 mg/1,"TABLET, FILM COATED",ORAL,ANDA207021,"Rising Pharma Holdings, Inc.",16571-804,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/11/2016,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (16571-804-13) / 3 TABLET, FILM COATED in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Zolmitriptan,27241-021-68,2.5 mg/1,TABLET,ORAL,ANDA204041,Ajanta Pharma USA Inc.,27241-021,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/31/2016,N/A,ANDA,1 BLISTER PACK in 1 CARTON (27241-021-68) / 6 TABLET in 1 BLISTER PACK,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
Zolmitriptan,27241-022-38,5 mg/1,TABLET,ORAL,ANDA204041,Ajanta Pharma USA Inc.,27241-022,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,05/31/2016,N/A,ANDA,1 BLISTER PACK in 1 CARTON (27241-022-38) / 3 TABLET in 1 BLISTER PACK,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2027
zolmitriptan,45802-711-91,5 mg/1,SPRAY,NASAL,ANDA212469,Padagis Israel Pharmaceuticals Ltd,45802-711,zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,11/16/2021,N/A,ANDA,"6 BOTTLE, SPRAY in 1 CARTON (45802-711-91) / 1 SPRAY in 1 BOTTLE, SPRAY (45802-711-00)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Zolmitriptan,46708-181-06,2.5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA205074,Alembic Pharmaceuticals Limited,46708-181,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,12/01/2016,N/A,ANDA,"6 BLISTER PACK in 1 CARTON (46708-181-06) / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Zolmitriptan,46708-182-03,5 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,ANDA205074,Alembic Pharmaceuticals Limited,46708-182,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,12/01/2016,N/A,ANDA,"3 BLISTER PACK in 1 CARTON (46708-182-03) / 3 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
Zolmitriptan,46708-462-06,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA204232,Alembic Pharmaceuticals Limited,46708-462,Zolmitriptan,ZOLMITRIPTAN,HUMAN PRESCRIPTION DRUG,01/04/2016,N/A,ANDA,"6 TABLET, FILM COATED in 1 CARTON (46708-462-06)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",N/A,No,12/31/2026
