Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
CHILDRENS TYLENOL,50580-139-04,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-139,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,04/28/2025,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-139-04) / 120 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
CHILDRENS TYLENOL,50580-139-08,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-139,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,06/30/2025,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-139-08) / 240 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
Childrens TYLENOL,50580-170-04,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-170,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,06/01/2021,N/A,OTC MONOGRAPH DRUG,3 CARTON in 1 PACKAGE (50580-170-04) / 1 BOTTLE in 1 CARTON / 120 mL in 1 BOTTLE,N/A,N/A,No,12/31/2026
Childrens TYLENOL,50580-170-03,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-170,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,10/01/2020,N/A,OTC MONOGRAPH DRUG,2 CARTON in 1 PACKAGE (50580-170-03) / 1 BOTTLE in 1 CARTON / 120 mL in 1 BOTTLE,N/A,N/A,No,12/31/2026
Childrens TYLENOL,50580-170-01,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-170,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,01/16/2017,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-170-01) / 120 mL in 1 BOTTLE,N/A,N/A,No,12/31/2026
Childrens TYLENOL,50580-170-02,160 mg/5mL,SUSPENSION,ORAL,M013,Kenvue Brands LLC,50580-170,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,06/01/2021,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-170-02) / 240 mL in 1 BOTTLE,N/A,N/A,No,12/31/2026
Childrens TYLENOL,50580-194-01,"160 mg/5mL, 5 mg/5mL",SUSPENSION,ORAL,M012,Kenvue Brands LLC,50580-194,Acetaminophen and Dextromethorphan Hydrobromide,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE,HUMAN OTC DRUG,06/26/2017,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-194-01) / 120 mL in 1 BOTTLE,"Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",N/A,No,12/31/2026
Childrens TYLENOL,50580-245-12,"160 mg/5mL, 1 mg/5mL, 5 mg/5mL",SUSPENSION,ORAL,M012,Kenvue Brands LLC,50580-245,"Acetaminophen, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide",ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE,HUMAN OTC DRUG,08/01/2024,N/A,OTC MONOGRAPH DRUG,3 BOTTLE in 1 CARTON (50580-245-12) / 120 mL in 1 BOTTLE,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",N/A,No,12/31/2027
Childrens TYLENOL,50580-245-02,"160 mg/5mL, 1 mg/5mL, 5 mg/5mL",SUSPENSION,ORAL,M012,Kenvue Brands LLC,50580-245,"Acetaminophen, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide",ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE,HUMAN OTC DRUG,08/28/2024,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-245-02) / 240 mL in 1 BOTTLE,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",N/A,No,12/31/2027
Childrens TYLENOL,50580-245-01,"160 mg/5mL, 1 mg/5mL, 5 mg/5mL",SUSPENSION,ORAL,M012,Kenvue Brands LLC,50580-245,"Acetaminophen, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide",ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE,HUMAN OTC DRUG,06/26/2017,N/A,OTC MONOGRAPH DRUG,1 BOTTLE in 1 CARTON (50580-245-01) / 120 mL in 1 BOTTLE,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",N/A,No,12/31/2027
