"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"dual pain reliever","0363-5220-01","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","12/11/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-01)  / 216 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-16","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","12/11/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-16)  / 144 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-23","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","03/10/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-23)  / 72 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-68","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","03/10/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-68)  / 36 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Kids Multi Symptom Cold and Flu","69676-0096-9","5 mg/10mL,  320 mg/10mL","SUSPENSION","ORAL","M012","Genexa Inc.","69676-0096","Acetaminophen, Dextromethorphan HBr","DEXTROMETHORPHAN HYDROBROMIDE,  ACETAMINOPHEN","HUMAN OTC DRUG","07/31/2025","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (69676-0096-9)  / 118 mL in 1 BOTTLE","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Oxycodone and Acetaminophen","42858-102-01","5 mg/1,  325 mg/1","TABLET","ORAL","ANDA201278","Rhodes Pharmaceuticals LLC","42858-102","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","08/28/2014","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (42858-102-01)","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","No","12/31/2027"
"Oxycodone and Acetaminophen","42858-102-10","5 mg/1,  325 mg/1","TABLET","ORAL","ANDA201278","Rhodes Pharmaceuticals LLC","42858-102","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","08/28/2014","N/A","ANDA","10 BLISTER PACK in 1 CARTON (42858-102-10)  / 10 TABLET in 1 BLISTER PACK","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","No","12/31/2027"
"Oxycodone and Acetaminophen","42858-102-50","5 mg/1,  325 mg/1","TABLET","ORAL","ANDA201278","Rhodes Pharmaceuticals LLC","42858-102","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","08/28/2014","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (42858-102-50)","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","No","12/31/2027"
"Acetaminophen","55154-7897-0","500 mg/1","TABLET","ORAL","M013","Cardinal Health 107, LLC","55154-7897","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","09/12/2018","N/A","OTC MONOGRAPH DRUG","10 BLISTER PACK in 1 BAG (55154-7897-0)  / 1 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Acetaminophen","55319-751-24","500 mg/1","TABLET","ORAL","M013","Family Dollar, Inc.","55319-751","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","07/15/2026","N/A","OTC MONOGRAPH DRUG","24 TABLET in 1 BOTTLE (55319-751-24)","N/A","N/A","No","12/31/2027"
