"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Alka-Seltzer","66715-5206-0","325 mg/1","TABLET, EFFERVESCENT","ORAL","M013","Lil' Drug Store Products, Inc.","66715-5206","buffered aspirin","ASPIRIN","HUMAN OTC DRUG","06/01/2023","N/A","OTC MONOGRAPH DRUG","15 POUCH in 1 BOX, UNIT-DOSE (66715-5206-0)  / 2 TABLET, EFFERVESCENT in 1 POUCH","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Aspirin 81mg Enteric coated Low Strength Aspirin Regimen","69168-006-50","81 mg/1","TABLET, DELAYED RELEASE","ORAL","M013","Allegiant Health","69168-006","Aspirin","ASPIRIN","HUMAN OTC DRUG","11/19/2021","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (69168-006-50)  / 50 TABLET, DELAYED RELEASE in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"PAIN RELIEVER","N/A","81 mg/1","TABLET, DELAYED RELEASE","ORAL","M013","Health Pharma USA, LLC","71679-104","aspirin 81 mg","ASPIRIN","HUMAN OTC DRUG","06/13/2025","N/A","OTC MONOGRAPH DRUG","N/A","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","N/A","12/31/2027"
"Low Dose Aspirin","41163-563-06","81 mg/1","TABLET, DELAYED RELEASE","ORAL","M013","United Natural Foods, Inc. dba UNFI","41163-563","Aspirin","ASPIRIN","HUMAN OTC DRUG","05/01/2011","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (41163-563-06)  / 200 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Low Dose Aspirin","41163-563-17","81 mg/1","TABLET, DELAYED RELEASE","ORAL","M013","United Natural Foods, Inc. dba UNFI","41163-563","Aspirin","ASPIRIN","HUMAN OTC DRUG","05/01/2011","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (41163-563-17)  / 300 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Low Dose Aspirin","41163-563-32","81 mg/1","TABLET, DELAYED RELEASE","ORAL","M013","United Natural Foods, Inc. dba UNFI","41163-563","Aspirin","ASPIRIN","HUMAN OTC DRUG","05/01/2011","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (41163-563-32)  / 120 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Headache Relief Extra Strength","49035-433-06","250 mg/1,  250 mg/1,  65 mg/1","TABLET, FILM COATED","ORAL","M013","Wal-Mart Stores Inc","49035-433","Acetaminophen, Aspirin and Caffeine","ACETAMINOPHEN,  ASPIRIN,  CAFFEINE","HUMAN OTC DRUG","03/13/2008","N/A","OTC MONOGRAPH DRUG","2 BOTTLE, PLASTIC in 1 CARTON (49035-433-06)  / 100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (49035-433-12)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Headache Relief Extra Strength","49035-433-08","250 mg/1,  250 mg/1,  65 mg/1","TABLET, FILM COATED","ORAL","M013","Wal-Mart Stores Inc","49035-433","Acetaminophen, Aspirin and Caffeine","ACETAMINOPHEN,  ASPIRIN,  CAFFEINE","HUMAN OTC DRUG","03/13/2008","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (49035-433-08)  / 24 TABLET, FILM COATED in 1 BOTTLE, PLASTIC","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Headache Formula Extra Strength","55301-334-12","250 mg/1,  250 mg/1,  65 mg/1","TABLET, FILM COATED","ORAL","M013","ARMY AND AIR FORCE EXCHANGE SERVICE","55301-334","Acetaminophen, Aspirin, Caffeine","ACETAMINOPHEN,  ASPIRIN,  CAFFEINE","HUMAN OTC DRUG","03/13/2008","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (55301-334-12)  / 100 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Oxycodone and Aspirin","42806-061-01","4.8355 mg/1,  325 mg/1","TABLET","ORAL","ANDA040910","Epic Pharma, LLC","42806-061","Oxycodone and Aspirin","OXYCODONE HYDROCHLORIDE,  ASPIRIN","HUMAN PRESCRIPTION DRUG","06/30/2020","N/A","ANDA","100 TABLET in 1 BOTTLE (42806-061-01)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Full Opioid Agonists [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC],  Opioid Agonist [EPC],  Platelet Aggregation Inhibitor [EPC]","CII","No","12/31/2026"
"Medique Pain Off","85766-173-01","65 mg/1,  250 mg/1,  250 mg/1","TABLET, FILM COATED","ORAL","M013","Sportpharm LLC","85766-173","Acetaminophen, Aspirin, Caffeine","CAFFEINE,  ACETAMINOPHEN,  ASPIRIN","HUMAN OTC DRUG","02/27/2026","N/A","OTC MONOGRAPH DRUG","50 PACKET in 1 BOX (85766-173-01)  / 2 TABLET, FILM COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Medique Pain Off","85766-173-02","65 mg/1,  250 mg/1,  250 mg/1","TABLET, FILM COATED","ORAL","M013","Sportpharm LLC","85766-173","Acetaminophen, Aspirin, Caffeine","CAFFEINE,  ACETAMINOPHEN,  ASPIRIN","HUMAN OTC DRUG","02/27/2026","N/A","OTC MONOGRAPH DRUG","100 PACKET in 1 BOX (85766-173-02)  / 2 TABLET, FILM COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Medique Pain Off","85766-173-05","65 mg/1,  250 mg/1,  250 mg/1","TABLET, FILM COATED","ORAL","M013","Sportpharm LLC","85766-173","Acetaminophen, Aspirin, Caffeine","CAFFEINE,  ACETAMINOPHEN,  ASPIRIN","HUMAN OTC DRUG","02/27/2026","N/A","OTC MONOGRAPH DRUG","250 PACKET in 1 BOX (85766-173-05)  / 2 TABLET, FILM COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Methylxanthine [EPC],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Aspirin","17714-121-06","81 mg/1","TABLET","ORAL","part343","Advance Pharmaceutical Inc.","17714-121","Aspirin","ASPIRIN","HUMAN OTC DRUG","05/01/2013","N/A","OTC MONOGRAPH FINAL","240 TABLET in 1 BOTTLE (17714-121-06)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Aspirin","17714-121-10","81 mg/1","TABLET","ORAL","part343","Advance Pharmaceutical Inc.","17714-121","Aspirin","ASPIRIN","HUMAN OTC DRUG","08/01/2015","N/A","OTC MONOGRAPH FINAL","1000 TABLET in 1 BOTTLE (17714-121-10)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Aspirin","17714-121-12","81 mg/1","TABLET","ORAL","part343","Advance Pharmaceutical Inc.","17714-121","Aspirin","ASPIRIN","HUMAN OTC DRUG","05/01/2013","N/A","OTC MONOGRAPH FINAL","120 TABLET in 1 BOTTLE (17714-121-12)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Chewable Low Dose Aspirin","11673-493-19","81 mg/1","TABLET, CHEWABLE","ORAL","M013","TARGET CORPORATION","11673-493","Aspirin","ASPIRIN","HUMAN OTC DRUG","01/15/2024","N/A","OTC MONOGRAPH DRUG","3 BOTTLE in 1 CARTON (11673-493-19)  / 36 TABLET, CHEWABLE in 1 BOTTLE (11673-493-63)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
"Physicians Care Aspirin","0924-0105-00","325 mg/1","TABLET, FILM COATED","ORAL","M013","Acme United Corporation","0924-0105","Aspirin","ASPIRIN","HUMAN OTC DRUG","07/20/2020","N/A","OTC MONOGRAPH DRUG","2 TABLET, FILM COATED in 1 PACKET (0924-0105-00)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Decreased Platelet Aggregation [PE],  Decreased Prostaglandin Production [PE],  Nonsteroidal Anti-inflammatory Drug [EPC],  Platelet Aggregation Inhibitor [EPC]","N/A","No","12/31/2026"
