Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Diflunisal,0093-9222-05,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA073673,"Teva Pharmaceuticals USA, Inc.",0093-9222,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,08/25/2022,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (0093-9222-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Diflunisal,0093-9222-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA073673,"Teva Pharmaceuticals USA, Inc.",0093-9222,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0093-9222-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Diflunisal,0093-9222-06,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA073673,"Teva Pharmaceuticals USA, Inc.",0093-9222,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE (0093-9222-06)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
diflunisal,14539-673-05,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA202845,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,14539-673,diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,01/09/2019,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (14539-673-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
diflunisal,14539-673-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA202845,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,14539-673,diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,01/09/2019,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (14539-673-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
diflunisal,14539-673-06,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA202845,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,14539-673,diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,01/09/2019,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE (14539-673-06)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Diflunisal,62135-456-60,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA202845,"Chartwell RX, LLC",62135-456,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,01/31/2023,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE (62135-456-60)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Diflunisal,68382-530-01,500 mg/1,TABLET,ORAL,ANDA203547,Zydus Pharmaceuticals (USA) Inc.,68382-530,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,09/14/2017,N/A,ANDA,100 TABLET in 1 BOTTLE (68382-530-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Diflunisal,68382-530-05,500 mg/1,TABLET,ORAL,ANDA203547,Zydus Pharmaceuticals (USA) Inc.,68382-530,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,09/14/2017,N/A,ANDA,500 TABLET in 1 BOTTLE (68382-530-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Diflunisal,68382-530-06,500 mg/1,TABLET,ORAL,ANDA203547,Zydus Pharmaceuticals (USA) Inc.,68382-530,Diflunisal,DIFLUNISAL,HUMAN PRESCRIPTION DRUG,09/14/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (68382-530-06),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
