Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Fenoprofen Calcium,0276-0501-10,200 mg/1,CAPSULE,ORAL,ANDA215548,"Misemer Pharmaceuticals, Inc.",0276-0501,Fenoprofen Calcium,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0276-0501-10),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Fenoprofen Calcium,0276-0502-10,300 mg/1,CAPSULE,ORAL,ANDA215548,"Misemer Pharmaceuticals, Inc.",0276-0502,Fenoprofen Calcium,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0276-0502-10),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Fenoprofen Calcium,0276-0503-90,400 mg/1,CAPSULE,ORAL,ANDA215548,"Misemer Pharmaceuticals, Inc.",0276-0503,Fenoprofen Calcium,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,90 CAPSULE in 1 BOTTLE (0276-0503-90),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
FENOPROFEN CALCIUM,16571-688-09,400 mg/1,CAPSULE,ORAL,ANDA214475,"Rising Pharma Holdings, Inc.",16571-688,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,08/01/2022,N/A,ANDA,90 CAPSULE in 1 BOTTLE (16571-688-09),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,16571-886-01,200 mg/1,CAPSULE,ORAL,ANDA214475,"Rising Pharma Holdings, Inc.",16571-886,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,07/26/2024,N/A,ANDA,100 CAPSULE in 1 BOTTLE (16571-886-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,16571-887-01,300 mg/1,CAPSULE,ORAL,ANDA214475,"Rising Pharma Holdings, Inc.",16571-887,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,07/26/2024,N/A,ANDA,100 CAPSULE in 1 BOTTLE (16571-887-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,71205-828-30,400 mg/1,CAPSULE,ORAL,ANDA214475,Proficient Rx LP,71205-828,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,08/15/2023,N/A,ANDA,30 CAPSULE in 1 BOTTLE (71205-828-30),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,71205-828-60,400 mg/1,CAPSULE,ORAL,ANDA214475,Proficient Rx LP,71205-828,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,08/15/2023,N/A,ANDA,60 CAPSULE in 1 BOTTLE (71205-828-60),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,71205-828-90,400 mg/1,CAPSULE,ORAL,ANDA214475,Proficient Rx LP,71205-828,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,08/15/2023,N/A,ANDA,90 CAPSULE in 1 BOTTLE (71205-828-90),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
FENOPROFEN CALCIUM,71993-308-90,400 mg/1,CAPSULE,ORAL,ANDA214475,"Atland Pharmaceuticals, LLC",71993-308,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,HUMAN PRESCRIPTION DRUG,03/26/2024,N/A,ANDA,90 CAPSULE in 1 BOTTLE (71993-308-90),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
