Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Hydrocodone Bitartrate,47781-392-60,20 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-392,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-392-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-393-60,30 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-393,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-393-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-394-60,40 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-394,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-394-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-395-60,60 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-395,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-395-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-396-60,80 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-396,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-396-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-397-60,100 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-397,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-397-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-398-60,120 mg/1,"TABLET, EXTENDED RELEASE",ORAL,ANDA208269,Alvogen Inc.,47781-398,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (47781-398-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Hydrocodone Bitartrate,47781-409-60,10 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA206986,Alvogen Inc.,47781-409,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,ANDA,"60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (47781-409-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2026
Hydrocodone Bitartrate,47781-410-60,15 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA206986,Alvogen Inc.,47781-410,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,ANDA,"60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (47781-410-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2026
Hydrocodone Bitartrate,47781-411-60,20 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA206986,Alvogen Inc.,47781-411,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,ANDA,"60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (47781-411-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2026
Hydrocodone Bitartrate,47781-412-60,30 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA206986,Alvogen Inc.,47781-412,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,ANDA,"60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (47781-412-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2026
