Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Advil,0573-0133-20,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-20) / 20 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-05,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"2 PACKET in 1 CARTON (0573-0133-05) / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-91,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,12/01/2014,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-91) / 180 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-89,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-89) / 160 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-04,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"2 PACKET in 1 BLISTER PACK (0573-0133-04) / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-88,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"2 BOTTLE in 1 PACKAGE (0573-0133-88) / 120 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-80,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-80) / 80 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-02,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"50 PACKET in 1 TRAY (0573-0133-02) / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-81,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,07/08/2013,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-81) / 100 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Advil,0573-0133-41,256 mg/1,"TABLET, COATED",ORAL,NDA201803,Haleon US Holdings LLC,0573-0133,ibuprofen sodium,IBUPROFEN SODIUM,HUMAN OTC DRUG,08/12/2015,N/A,NDA,"1 BOTTLE in 1 CARTON (0573-0133-41) / 40 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
