"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"dual pain reliever","0363-5220-01","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","12/11/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-01)  / 216 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-16","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","12/11/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-16)  / 144 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-23","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","03/10/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-23)  / 72 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"dual pain reliever","0363-5220-68","250 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA214836","Walgreen Company","0363-5220","Acetaminophen, Ibuprofen","ACETAMINOPHEN,  IBUPROFEN","HUMAN OTC DRUG","03/10/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (0363-5220-68)  / 36 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-01","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (70010-067-01)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-03","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (70010-067-03)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-05","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (70010-067-05)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-10","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE (70010-067-10)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-50","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","50 TABLET, FILM COATED in 1 BOTTLE (70010-067-50)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
"Ibuprofen","70010-067-81","600 mg/1","TABLET, FILM COATED","ORAL","ANDA091625","Granules Pharmaceuticals Inc.","70010-067","Ibuprofen","IBUPROFEN","HUMAN PRESCRIPTION DRUG","02/18/2026","N/A","ANDA","6 BLISTER PACK in 1 CARTON (70010-067-81)  / 10 TABLET, FILM COATED in 1 BLISTER PACK","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2027"
