Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Indocin,69344-101-01,25 mg/5mL,SUSPENSION,ORAL,NDA018332,Zyla Life Sciences US LLC,69344-101,indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,02/04/2019,N/A,NDA,"1 BOTTLE, GLASS in 1 CARTON (69344-101-01) / 237 mL in 1 BOTTLE, GLASS","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOCIN,69344-102-33,50 mg/1,SUPPOSITORY,RECTAL,ANDA073314,Zyla Life Sciences US Inc.,69344-102,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,08/31/1992,N/A,ANDA,30 SUPPOSITORY in 1 BOX (69344-102-33),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,0054-1950-30,50 mg/1,SUPPOSITORY,RECTAL,ANDA215899,Hikma Pharmaceuticals USA Inc.,0054-1950,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,11/20/2024,N/A,ANDA,30 SUPPOSITORY in 1 BOX (0054-1950-30),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-50,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,03/06/2009,N/A,ANDA,"500 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-50)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-10,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,03/06/2009,N/A,ANDA,"1000 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-10)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-09,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,02/02/2011,N/A,ANDA,"90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-09)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-06,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,03/06/2009,N/A,ANDA,"60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-06)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-03,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,02/02/2011,N/A,ANDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-03)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
INDOMETHACIN,10702-016-01,75 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA079175,"KVK-Tech, Inc.",10702-016,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,03/06/2009,N/A,ANDA,"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (10702-016-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Indomethacin,31722-051-31,50 mg/1,SUPPOSITORY,RECTAL,ANDA216905,"Camber Pharmaceuticals, Inc.",31722-051,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,07/03/2025,N/A,ANDA,30 SUPPOSITORY in 1 CARTON (31722-051-31),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Indomethacin,31722-542-10,25 mg/1,CAPSULE,ORAL,ANDA091240,"Camber Pharmaceuticals, Inc.",31722-542,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,05/19/2016,N/A,ANDA,12 BOTTLE in 1 CASE (31722-542-10) / 1000 CAPSULE in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Indomethacin,31722-542-01,25 mg/1,CAPSULE,ORAL,ANDA091240,"Camber Pharmaceuticals, Inc.",31722-542,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,05/19/2016,N/A,ANDA,12 BOTTLE in 1 CASE (31722-542-01) / 100 CAPSULE in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Indomethacin,31722-542-30,25 mg/1,CAPSULE,ORAL,ANDA091240,"Camber Pharmaceuticals, Inc.",31722-542,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,05/19/2016,N/A,ANDA,12 BOTTLE in 1 CASE (31722-542-30) / 30 CAPSULE in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Indomethacin,31722-542-05,25 mg/1,CAPSULE,ORAL,ANDA091240,"Camber Pharmaceuticals, Inc.",31722-542,Indomethacin,INDOMETHACIN,HUMAN PRESCRIPTION DRUG,05/19/2016,N/A,ANDA,12 BOTTLE in 1 CASE (31722-542-05) / 500 CAPSULE in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
