Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Acular,0023-2181-05,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA019700,"Allergan, Inc.",0023-2181,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,12/01/1992,N/A,NDA,"1 BOTTLE, DROPPER in 1 CARTON (0023-2181-05) / 5 mL in 1 BOTTLE, DROPPER","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
ACULAR LS,0023-9277-05,4 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA021528,"Allergan, Inc.",0023-9277,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,08/19/2003,N/A,NDA,"1 BOTTLE, DROPPER in 1 CARTON (0023-9277-05) / 5 mL in 1 BOTTLE, DROPPER","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
ACUVAIL,0023-3507-31,4.5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA022427,"Allergan, Inc.",0023-3507,ketorolac tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,08/01/2009,N/A,NDA,"3 POUCH in 1 CARTON (0023-3507-31) / 10 VIAL, SINGLE-DOSE in 1 POUCH / .4 mL in 1 VIAL, SINGLE-DOSE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
ACUVAIL,0023-3507-05,4.5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA022427,"Allergan, Inc.",0023-3507,ketorolac tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,08/01/2009,N/A,NDA,"5 VIAL, SINGLE-DOSE in 1 CARTON (0023-3507-05) / .4 mL in 1 VIAL, SINGLE-DOSE","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,Yes,12/31/2026
Ketorocaine L Kit,76420-771-01,,KIT,INFILTRATION; INTRAMUSCULAR; INTRAVENOUS; TOPICAL,,"Asclemed USA, Inc.",76420-771,"Ketorolac Tromethamine, Lidocaine Hydrochloride, Povidine Iodine",,HUMAN PRESCRIPTION DRUG,09/23/2021,N/A,UNAPPROVED DRUG OTHER,1 KIT in 1 CARTON (76420-771-01) * 10 AMPULE in 1 CARTON (55150-158-72) / 2 mL in 1 AMPULE * .9 mL in 1 PACKET (67777-419-02) * 5 mL in 1 POUCH * 1 mL in 1 VIAL (72266-118-01),N/A,N/A,No,12/31/2027
Ketorocaine LM Kit,76420-772-01,,KIT,EPIDURAL; INFILTRATION; INTRAMUSCULAR; INTRAVENOUS; TOPICAL,,"Asclemed USA, Inc.",76420-772,"Ketorolac Tromethamine, Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine",,HUMAN PRESCRIPTION DRUG,09/23/2021,N/A,UNAPPROVED DRUG OTHER,"1 KIT in 1 CARTON (76420-772-01) * 10 mL in 1 VIAL, SINGLE-DOSE (0409-1159-18) * .9 mL in 1 PACKET (67777-419-02) * 5 mL in 1 POUCH * 10 AMPULE in 1 CARTON (55150-158-72) / 2 mL in 1 AMPULE * 1 mL in 1 VIAL (72266-118-01)",N/A,N/A,No,12/31/2027
Ketorocaine LM Kit,80425-0245-1,,KIT,EPIDURAL; INFILTRATION; INTRAMUSCULAR; INTRAVENOUS; TOPICAL,,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0245,"Ketorolac Tromethamine, Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine",,HUMAN PRESCRIPTION DRUG,05/12/2023,N/A,UNAPPROVED DRUG OTHER,"1 KIT in 1 CARTON (80425-0245-1) * 10 mL in 1 VIAL, SINGLE-DOSE (0409-1159-18) * .9 mL in 1 PACKET (67777-419-02) * 5 mL in 1 POUCH * 10 AMPULE in 1 CARTON (55150-158-72) / 2 mL in 1 AMPULE * 1 mL in 1 VIAL, SINGLE-DOSE (72611-722-01)",N/A,N/A,No,12/31/2026
Ketorolac Tromethamine,0093-0314-01,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA074754,"Teva Pharmaceuticals USA, Inc.",0093-0314,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,06/17/1998,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0093-0314-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
KETOROLAC TROMETHAMINE,0338-0069-10,15 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA209900,Baxter Healthcare Corporation,0338-0069,ketorolac tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,11/30/2018,N/A,ANDA,10 VIAL in 1 CARTON (0338-0069-10) / 1 mL in 1 VIAL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
KETOROLAC TROMETHAMINE,0338-0072-25,30 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA209900,Baxter Healthcare Corporation,0338-0072,ketorolac tromethamine,KETOROLAC TROMETHAMINE,HUMAN PRESCRIPTION DRUG,11/30/2018,N/A,ANDA,25 VIAL in 1 CARTON (0338-0072-25) / 1 mL in 1 VIAL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
