Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
LEVORPHANOL TARTRATE,0054-0438-25,2 mg/1,TABLET,ORAL,ANDA074278,Hikma Pharmaceuticals USA Inc.,0054-0438,LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,02/02/2023,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0054-0438-25)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,0406-2224-01,2 mg/1,TABLET,ORAL,ANDA212024,SpecGx LLC,0406-2224,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,12/13/2019,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0406-2224-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,0527-3236-37,2 mg/1,TABLET,ORAL,ANDA213479,"Lannett Company, Inc.",0527-3236,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,05/20/2019,N/A,ANDA,100 TABLET in 1 BOTTLE (0527-3236-37),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,0527-3237-37,3 mg/1,TABLET,ORAL,ANDA213479,"Lannett Company, Inc.",0527-3237,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,01/12/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (0527-3237-37),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,57664-058-88,3 mg/1,TABLET,ORAL,ANDA213906,"Sun Pharmaceutical Industries, Inc.",57664-058,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,06/15/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (57664-058-88),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,57664-762-88,2 mg/1,TABLET,ORAL,ANDA213906,"Sun Pharmaceutical Industries, Inc.",57664-762,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,04/26/2022,N/A,ANDA,100 TABLET in 1 BOTTLE (57664-762-88),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,63629-2093-1,2 mg/1,TABLET,ORAL,ANDA213479,Bryant Ranch Prepack,63629-2093,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,08/08/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (63629-2093-1),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Levorphanol Tartrate,69543-417-10,2 mg/1,TABLET,ORAL,ANDA211484,"Virtus Pharmaceuticals, LLC",69543-417,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,09/01/2020,07/31/2027,ANDA,100 TABLET in 1 BOTTLE (69543-417-10),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
Levorphanol Tartrate,72162-2309-1,2 mg/1,TABLET,ORAL,ANDA211484,Bryant Ranch Prepack,72162-2309,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,05/07/2024,07/31/2027,ANDA,100 TABLET in 1 BOTTLE (72162-2309-1),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
Levorphanol Tartrate,72989-417-10,2 mg/1,TABLET,ORAL,ANDA211484,"ACERTIS PHARMACEUTICALS, LLC",72989-417,Levorphanol Tartrate,LEVORPHANOL TARTRATE,HUMAN PRESCRIPTION DRUG,07/14/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (72989-417-10),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
