Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Mefenamic Acid,0276-0509-30,250 mg/1,CAPSULE,ORAL,ANDA091608,"Misemer Pharmaceuticals, Inc",0276-0509,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,11/01/2021,N/A,ANDA,30 CAPSULE in 1 BOTTLE (0276-0509-30),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Mefenamic acid,42571-258-01,250 mg/1,CAPSULE,ORAL,ANDA090562,Micro Labs Limited,42571-258,Mefenamic acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,11/19/2010,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42571-258-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Mefenamic acid,42571-258-30,250 mg/1,CAPSULE,ORAL,ANDA090562,Micro Labs Limited,42571-258,Mefenamic acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,11/19/2010,N/A,ANDA,30 CAPSULE in 1 BOTTLE (42571-258-30),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Mefenamic Acid,68180-185-06,250 mg/1,CAPSULE,ORAL,ANDA091322,"Lupin Pharmaceuticals, Inc.",68180-185,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,09/06/2011,N/A,ANDA,30 CAPSULE in 1 BOTTLE (68180-185-06),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Mefenamic acid,72162-2382-3,250 mg/1,CAPSULE,ORAL,ANDA090562,Bryant Ranch Prepack,72162-2382,Mefenamic acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,11/19/2010,N/A,ANDA,30 CAPSULE in 1 BOTTLE (72162-2382-3),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Mefenamic Acid,80425-0306-1,250 mg/1,CAPSULE,ORAL,ANDA090562,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0306,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,04/06/2023,N/A,ANDA,30 CAPSULE in 1 BOTTLE (80425-0306-1),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Mefenamic Acid,80425-0306-2,250 mg/1,CAPSULE,ORAL,ANDA090562,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0306,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,04/06/2023,N/A,ANDA,60 CAPSULE in 1 BOTTLE (80425-0306-2),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Mefenamic Acid,80425-0306-3,250 mg/1,CAPSULE,ORAL,ANDA090562,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0306,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,04/06/2023,N/A,ANDA,90 CAPSULE in 1 BOTTLE (80425-0306-3),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Mefenamic Acid,80425-0423-1,250 mg/1,CAPSULE,ORAL,ANDA091322,"Advanced Rx of Tennessee, LLC",80425-0423,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,07/19/2024,N/A,ANDA,30 CAPSULE in 1 BOTTLE (80425-0423-1),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Mefenamic Acid,80425-0423-2,250 mg/1,CAPSULE,ORAL,ANDA091322,"Advanced Rx of Tennessee, LLC",80425-0423,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,07/19/2024,N/A,ANDA,60 CAPSULE in 1 BOTTLE (80425-0423-2),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Mefenamic Acid,80425-0423-3,250 mg/1,CAPSULE,ORAL,ANDA091322,"Advanced Rx of Tennessee, LLC",80425-0423,Mefenamic Acid,MEFENAMIC ACID,HUMAN PRESCRIPTION DRUG,07/19/2024,N/A,ANDA,90 CAPSULE in 1 BOTTLE (80425-0423-3),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
