Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
DEMEROL,0409-1176-30,25 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,NDA021171,"Hospira, Inc.",0409-1176,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/25/2005,N/A,NDA,10 CARTRIDGE in 1 CARTON (0409-1176-30) / 1 mL in 1 CARTRIDGE (0409-1176-03),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
DEMEROL,0409-1178-30,50 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,NDA021171,"Hospira, Inc.",0409-1178,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2005,N/A,NDA,10 CARTRIDGE in 1 CARTON (0409-1178-30) / 1 mL in 1 CARTRIDGE (0409-1178-03),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
DEMEROL,0409-1181-30,50 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,NDA021171,"Hospira, Inc.",0409-1181,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/24/2006,N/A,NDA,"1 VIAL, MULTI-DOSE in 1 CARTON (0409-1181-30) / 30 mL in 1 VIAL, MULTI-DOSE","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Meperidine Hydrochloride,0054-3545-63,50 mg/5mL,SOLUTION,ORAL,ANDA088744,Hikma Pharmaceuticals USA Inc.,0054-3545,Meperidine Hydrochloride,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/30/1985,N/A,ANDA,500 mL in 1 BOTTLE (0054-3545-63),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
MEPERIDINE HYDROCHLORIDE,0641-6052-25,25 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,ANDA080445,Hikma Pharmaceuticals USA Inc.,0641-6052,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/22/1975,N/A,ANDA,25 VIAL in 1 CARTON (0641-6052-25) / 1 mL in 1 VIAL (0641-6052-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
MEPERIDINE HYDROCHLORIDE,0641-6053-25,50 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,ANDA080445,Hikma Pharmaceuticals USA Inc.,0641-6053,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/22/1975,N/A,ANDA,25 VIAL in 1 CARTON (0641-6053-25) / 1 mL in 1 VIAL (0641-6053-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
MEPERIDINE HYDROCHLORIDE,0641-6054-25,100 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,ANDA080445,Hikma Pharmaceuticals USA Inc.,0641-6054,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/22/1975,N/A,ANDA,25 VIAL in 1 CARTON (0641-6054-25) / 1 mL in 1 VIAL (0641-6054-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Meperidine Hydrochloride,42806-050-01,50 mg/1,TABLET,ORAL,ANDA040331,"EPIC PHARMA, LLC",42806-050,Meperidine Hydrochloride,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/05/2011,N/A,ANDA,100 TABLET in 1 BOTTLE (42806-050-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Meperidine Hydrochloride,42806-050-30,50 mg/1,TABLET,ORAL,ANDA040331,"EPIC PHARMA, LLC",42806-050,Meperidine Hydrochloride,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/01/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (42806-050-30),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Meperidine Hydrochloride,42806-051-01,100 mg/1,TABLET,ORAL,ANDA040331,"EPIC PHARMA, LLC",42806-051,Meperidine Hydrochloride,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/05/2011,N/A,ANDA,100 TABLET in 1 BOTTLE (42806-051-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Meperidine Hydrochloride,64950-214-01,50 mg/1,TABLET,ORAL,ANDA040893,Genus Lifesciences Inc.,64950-214,Meperidine Hydrochloride,MEPERIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/14/2024,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (64950-214-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
