Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Nabumetone,0591-3670-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA091083,"Actavis Pharma, Inc.",0591-3670,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,06/13/2011,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-3670-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,0591-3670-05,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA091083,"Actavis Pharma, Inc.",0591-3670,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,06/13/2011,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-3670-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,0591-3671-01,750 mg/1,"TABLET, FILM COATED",ORAL,ANDA091083,"Actavis Pharma, Inc.",0591-3671,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,06/13/2011,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-3671-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,0591-3671-05,750 mg/1,"TABLET, FILM COATED",ORAL,ANDA091083,"Actavis Pharma, Inc.",0591-3671,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,06/13/2011,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-3671-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,43063-972-30,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA078671,"PD-Rx Pharmaceuticals, Inc.",43063-972,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,07/10/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-972-30)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,43063-972-20,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA078671,"PD-Rx Pharmaceuticals, Inc.",43063-972,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,04/22/2019,N/A,ANDA,"20 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-972-20)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-5294-8,500 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-5294,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/23/2020,N/A,ANDA,90 TABLET in 1 BOTTLE (50090-5294-8),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-5294-7,500 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-5294,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/23/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (50090-5294-7),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-5294-0,500 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-5294,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/23/2020,N/A,ANDA,60 TABLET in 1 BOTTLE (50090-5294-0),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-6167-0,750 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-6167,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/13/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (50090-6167-0),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-6167-2,750 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-6167,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/13/2022,N/A,ANDA,14 TABLET in 1 BOTTLE (50090-6167-2),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Nabumetone,50090-6167-3,750 mg/1,TABLET,ORAL,ANDA078420,A-S Medication Solutions,50090-6167,Nabumetone,NABUMETONE,HUMAN PRESCRIPTION DRUG,10/13/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (50090-6167-3),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
