Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Aleve,0280-0111-06,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-06) / 50 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-05,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-05) / 250 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-02,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-02) / 110 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-01,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,10 TABLET in 1 BOTTLE (0280-0111-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-04,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-04) / 24 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-07,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-07) / 90 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0111-03,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0111,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0111-03) / 200 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0112-04,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0112,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0112-04) / 90 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0112-03,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0112,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0112-03) / 50 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Aleve,0280-0112-02,220 mg/1,TABLET,ORAL,NDA020204,Bayer HealthCare LLC.,0280-0112,NAPROXEN SODIUM,NAPROXEN SODIUM,HUMAN OTC DRUG,03/25/2024,N/A,NDA,1 BOTTLE in 1 CARTON (0280-0112-02) / 24 TABLET in 1 BOTTLE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
