"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Naproxen","66267-807-04","500 mg/1","TABLET","ORAL","ANDA078250","NuCare Pharmaceuticals, Inc.","66267-807","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/24/2017","N/A","ANDA","4 TABLET in 1 BOTTLE (66267-807-04)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Naproxen","66267-807-06","500 mg/1","TABLET","ORAL","ANDA078250","NuCare Pharmaceuticals, Inc.","66267-807","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/24/2017","N/A","ANDA","6 TABLET in 1 BOTTLE (66267-807-06)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"exchange select naproxen sodium","55301-368-71","220 mg/1","TABLET, FILM COATED","ORAL","ANDA074661","Army & Air Force Exchange Service","55301-368","Naproxen Sodium","NAPROXEN SODIUM","HUMAN OTC DRUG","08/26/2008","N/A","ANDA","1 BOTTLE in 1 CARTON (55301-368-71)  / 50 TABLET, FILM COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"NAPROXEN SODIUM","57344-145-01","220 mg/1","TABLET, COATED","ORAL","ANDA079096","AAA Pharmaceutical, Inc.","57344-145","NAPROXEN SODIUM","NAPROXEN SODIUM","HUMAN OTC DRUG","04/01/2012","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (57344-145-01)  / 24 TABLET, COATED in 1 BOTTLE, PLASTIC","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Aleve","66715-5103-0","220 mg/1","TABLET","ORAL","NDA020204","Lil' Drug Store Products, Inc","66715-5103","naproxen sodium tablet","NAPROXEN SODIUM","HUMAN OTC DRUG","11/16/2006","N/A","NDA","30 POUCH in 1 BOX, UNIT-DOSE (66715-5103-0)  / 2 TABLET in 1 POUCH","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"NAPROXEN","68071-4510-6","250 mg/1","TABLET","ORAL","ANDA091416","NuCare Pharmaceuticals,Inc.","68071-4510","NAPROXEN","NAPROXEN","HUMAN PRESCRIPTION DRUG","07/25/2018","N/A","ANDA","6 TABLET in 1 BOTTLE (68071-4510-6)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Naproxen","43063-650-06","375 mg/1","TABLET","ORAL","ANDA075927","PD-Rx Pharmaceuticals, Inc.","43063-650","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/22/2016","N/A","ANDA","6 TABLET in 1 BOTTLE, PLASTIC (43063-650-06)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Naproxen","43063-650-10","375 mg/1","TABLET","ORAL","ANDA075927","PD-Rx Pharmaceuticals, Inc.","43063-650","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/22/2016","N/A","ANDA","10 TABLET in 1 BOTTLE, PLASTIC (43063-650-10)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Naproxen","43063-650-14","375 mg/1","TABLET","ORAL","ANDA075927","PD-Rx Pharmaceuticals, Inc.","43063-650","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/22/2016","N/A","ANDA","14 TABLET in 1 BOTTLE, PLASTIC (43063-650-14)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
"Naproxen","43063-650-15","375 mg/1","TABLET","ORAL","ANDA075927","PD-Rx Pharmaceuticals, Inc.","43063-650","Naproxen","NAPROXEN","HUMAN PRESCRIPTION DRUG","01/22/2016","N/A","ANDA","15 TABLET in 1 BOTTLE, PLASTIC (43063-650-15)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2026"
