Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
COXANTO,70512-814-60,300 mg/1,CAPSULE,ORAL,NDA217927,"SOLA Pharmaceuticals, LLC",70512-814,oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,11/03/2025,N/A,NDA,60 CAPSULE in 1 BOTTLE (70512-814-60),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Oxaprozin,55111-170-05,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA075855,Dr. Reddy's Laboratories Limited,55111-170,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,01/31/2001,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (55111-170-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Oxaprozin,55111-170-01,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA075855,Dr. Reddy's Laboratories Limited,55111-170,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,01/31/2001,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (55111-170-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Oxaprozin,60760-382-14,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA075855,ST MARY'S MEDICAL PARK PHARMACY,60760-382,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,08/15/2022,N/A,ANDA,"14 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (60760-382-14)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
OXAPROZIN,62135-176-18,600 mg/1,TABLET,ORAL,ANDA075987,"Chartwell RX, LLC.",62135-176,OXAPROZIN,OXAPROZIN,HUMAN PRESCRIPTION DRUG,08/22/2022,N/A,ANDA,180 TABLET in 1 BOTTLE (62135-176-18),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
OXAPROZIN,62135-176-60,600 mg/1,TABLET,ORAL,ANDA075987,"Chartwell RX, LLC.",62135-176,OXAPROZIN,OXAPROZIN,HUMAN PRESCRIPTION DRUG,08/22/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (62135-176-60),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Oxaprozin,69238-1120-5,600 mg/1,TABLET,ORAL,ANDA208633,Amneal Pharmaceuticals NY LLC,69238-1120,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,05/04/2017,N/A,ANDA,500 TABLET in 1 BOTTLE (69238-1120-5),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Oxaprozin,69238-1120-1,600 mg/1,TABLET,ORAL,ANDA208633,Amneal Pharmaceuticals NY LLC,69238-1120,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,05/04/2017,N/A,ANDA,100 TABLET in 1 BOTTLE (69238-1120-1),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Oxaprozin,70512-787-60,300 mg/1,CAPSULE,ORAL,NDA217927,"SOLA Pharmaceuticals, LLC",70512-787,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,12/03/2025,N/A,NDA,60 CAPSULE in 1 BOTTLE (70512-787-60),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Oxaprozin,71335-0393-2,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA075855,Bryant Ranch Prepack,71335-0393,Oxaprozin,OXAPROZIN,HUMAN PRESCRIPTION DRUG,09/12/2007,N/A,ANDA,"20 TABLET, FILM COATED in 1 BOTTLE (71335-0393-2)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
