Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ENDOCET,60951-602-70,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,"Par Health USA, LLC",60951-602,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/26/2000,03/31/2027,ANDA,100 TABLET in 1 BOTTLE (60951-602-70),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
ENDOCET,60951-602-85,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,"Par Health USA, LLC",60951-602,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/26/2000,10/31/2026,ANDA,500 TABLET in 1 BOTTLE (60951-602-85),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
ENDOCET,60951-700-70,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,"Par Health USA, LLC",60951-700,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/06/2003,05/31/2028,ANDA,100 TABLET in 1 BOTTLE (60951-700-70),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
ENDOCET,60951-701-70,"2.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,"Par Health USA, LLC",60951-701,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/06/2003,03/31/2028,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (60951-701-70)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
ENDOCET,60951-712-70,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,"Par Health USA, LLC",60951-712,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/06/2003,06/30/2028,ANDA,100 TABLET in 1 BOTTLE (60951-712-70),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,N/A
ENDOCET,63629-2190-1,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,63629-2190,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/08/2024,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (63629-2190-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,67296-0836-7,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Redpharm Drug,67296-0836,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/26/2000,N/A,ANDA,4 TABLET in 1 BOTTLE (67296-0836-7),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-1,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/21/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-2182-1),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-2,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/07/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-2182-2),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-3,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/07/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-2182-3),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-4,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-2182-4),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-5,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-2182-5),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-6,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,20 TABLET in 1 BOTTLE (71335-2182-6),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-7,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,45 TABLET in 1 BOTTLE (71335-2182-7),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-8,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,75 TABLET in 1 BOTTLE (71335-2182-8),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,71335-2182-9,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,71335-2182,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (71335-2182-9),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
ENDOCET,72162-1728-1,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040330,Bryant Ranch Prepack,72162-1728,Oxycodone and Acetaminophen,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/27/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (72162-1728-1),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
