Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
OXAYDO,69344-113-11,5 mg/1,TABLET,ORAL,NDA202080,Zyla Life Sciences US LLC,69344-113,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2015,N/A,NDA,100 TABLET in 1 BOTTLE (69344-113-11),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXAYDO,69344-213-11,7.5 mg/1,TABLET,ORAL,NDA202080,Zyla Life Sciences US LLC,69344-213,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2015,N/A,NDA,100 TABLET in 1 BOTTLE (69344-213-11),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0512-91,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA087463,SpecGx LLC,0406-0512,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,12/07/1983,N/A,ANDA,5000 TABLET in 1 PAIL (0406-0512-91),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0512-23,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA087463,SpecGx LLC,0406-0512,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,12/07/1983,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-0512-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0512-62,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA087463,SpecGx LLC,0406-0512,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,12/07/1983,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-0512-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0512-05,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA087463,SpecGx LLC,0406-0512,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,12/07/1983,N/A,ANDA,500 TABLET in 1 BOTTLE (0406-0512-05),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0512-01,"5 mg/1, 325 mg/1",TABLET,ORAL,ANDA087463,SpecGx LLC,0406-0512,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,12/07/1983,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-0512-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0522-23,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0522,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-0522-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0522-05,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0522,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,500 TABLET in 1 BOTTLE (0406-0522-05),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0522-62,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0522,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-0522-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0522-01,"7.5 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0522,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-0522-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0523-23,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0523,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-0523-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0523-05,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0523,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,500 TABLET in 1 BOTTLE (0406-0523-05),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0523-62,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0523,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-0523-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE AND ACETAMINOPHEN,0406-0523-01,"10 mg/1, 325 mg/1",TABLET,ORAL,ANDA040545,SpecGx LLC,0406-0523,oxycodone hydrochloride and acetaminophen,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-0523-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
oxycodone hydrochloride,0054-0390-63,5 mg/5mL,SOLUTION,ORAL,ANDA204037,Hikma Pharmceuticals USA Inc.,0054-0390,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/04/2014,N/A,ANDA,500 mL in 1 BOTTLE (0054-0390-63),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0115-1560-01,40 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA022272,Amneal Pharmaceuticals of New York LLC,0115-1560,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/22/2016,N/A,NDA AUTHORIZED GENERIC,"100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0115-1560-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0121-0827-04,5 mg/5mL,SOLUTION,ORAL,ANDA206914,"PAI Holdings, LLC dba PAI Pharma",0121-0827,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2019,N/A,ANDA,118 mL in 1 BOTTLE (0121-0827-04),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0121-0827-16,5 mg/5mL,SOLUTION,ORAL,ANDA206914,"PAI Holdings, LLC dba PAI Pharma",0121-0827,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2019,N/A,ANDA,500 mL in 1 BOTTLE (0121-0827-16),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0121-4827-50,5 mg/5mL,SOLUTION,ORAL,ANDA206914,"PAI Holdings, LLC dba PAI Pharma",0121-4827,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/10/2020,N/A,ANDA,"5 TRAY in 1 CASE (0121-4827-50) / 10 CUP, UNIT-DOSE in 1 TRAY / 5 mL in 1 CUP, UNIT-DOSE (0121-4827-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0121-4827-40,5 mg/5mL,SOLUTION,ORAL,ANDA206914,"PAI Holdings, LLC dba PAI Pharma",0121-4827,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2019,N/A,ANDA,"4 TRAY in 1 CASE (0121-4827-40) / 10 CUP, UNIT-DOSE in 1 TRAY / 5 mL in 1 CUP, UNIT-DOSE (0121-4827-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-0552-01,5 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-0552,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-0552-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-0552-62,5 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-0552,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-0552-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-0552-23,5 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-0552,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-0552-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8510-62,10 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8510,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-8510-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8510-23,10 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8510,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-8510-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8510-01,10 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8510,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-8510-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8515-01,15 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8515,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-8515-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8515-62,15 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8515,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-8515-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8515-23,15 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8515,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-8515-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8520-62,20 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8520,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-8520-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8520-23,20 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8520,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-8520-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8520-01,20 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8520,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/12/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-8520-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8530-23,30 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8530,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,1 TABLET in 1 BLISTER PACK (0406-8530-23),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8530-62,30 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8530,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BLISTER PACK (0406-8530-62),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,0406-8530-01,30 mg/1,TABLET,ORAL,ANDA076758,SpecGx LLC,0406-8530,oxycodone hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/2004,N/A,ANDA,100 TABLET in 1 BOTTLE (0406-8530-01),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Oxycodone Hydrochloride,0406-8556-05,5 mg/5mL,SOLUTION,ORAL,ANDA210758,SpecGx LLC,0406-8556,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/30/2018,N/A,ANDA,"1 BOTTLE, PLASTIC in 1 CARTON (0406-8556-05) / 500 mL in 1 BOTTLE, PLASTIC","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Oxycodone Hydrochloride,0406-8557-30,100 mg/5mL,SOLUTION,ORAL,ANDA210758,SpecGx LLC,0406-8557,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/30/2018,N/A,ANDA,"1 BOTTLE, PLASTIC in 1 CARTON (0406-8557-30) / 30 mL in 1 BOTTLE, PLASTIC","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2026
Oxycodone Hydrochloride,0904-6678-40,5 mg/5mL,SOLUTION,ORAL,ANDA207511,MAJOR PHARMACEUTICALS,0904-6678,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/23/2016,N/A,ANDA,"1 BOTTLE, PLASTIC in 1 CARTON (0904-6678-40) / 500 mL in 1 BOTTLE, PLASTIC","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Oxycodone Hydrochloride,0904-6828-92,5 mg/5mL,SOLUTION,ORAL,ANDA207511,MAJOR PHARMACEUTICALS,0904-6828,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/23/2016,N/A,ANDA,"5 TRAY in 1 CARTON (0904-6828-92) / 10 CUP, UNIT-DOSE in 1 TRAY / 5 mL in 1 CUP, UNIT-DOSE (0904-6828-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
Oxycodone Hydrochloride,0904-6828-94,5 mg/5mL,SOLUTION,ORAL,ANDA207511,MAJOR PHARMACEUTICALS,0904-6828,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/23/2016,N/A,ANDA,"4 TRAY in 1 CARTON (0904-6828-94) / 10 CUP, UNIT-DOSE in 1 TRAY / 5 mL in 1 CUP, UNIT-DOSE (0904-6828-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
OXYCODONE HYDROCHLORIDE,10702-008-50,15 mg/1,TABLET,ORAL,ANDA091393,"KVK-TECH,INC",10702-008,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/18/2013,N/A,ANDA,500 TABLET in 1 BOTTLE (10702-008-50),"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CII,No,12/31/2027
