Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Piroxicam,0093-0756-01,10 mg/1,CAPSULE,ORAL,ANDA074131,"Teva Pharmaceuticals USA, Inc.",0093-0756,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,10/19/1994,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0093-0756-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,0093-0757-01,20 mg/1,CAPSULE,ORAL,ANDA074131,"Teva Pharmaceuticals USA, Inc.",0093-0757,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,01/26/1994,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0093-0757-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,0093-0757-05,20 mg/1,CAPSULE,ORAL,ANDA074131,"Teva Pharmaceuticals USA, Inc.",0093-0757,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,01/26/1994,N/A,ANDA,500 CAPSULE in 1 BOTTLE (0093-0757-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,29300-255-05,10 mg/1,CAPSULE,ORAL,ANDA208340,"Unichem Pharmaceuticals (USA), Inc.",29300-255,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,"500 CAPSULE in 1 BOTTLE, PLASTIC (29300-255-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,29300-255-01,10 mg/1,CAPSULE,ORAL,ANDA208340,"Unichem Pharmaceuticals (USA), Inc.",29300-255,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,"100 CAPSULE in 1 BOTTLE, PLASTIC (29300-255-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,29300-256-13,20 mg/1,CAPSULE,ORAL,ANDA208340,"Unichem Pharmaceuticals (USA), Inc.",29300-256,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,"30 CAPSULE in 1 BOTTLE, PLASTIC (29300-256-13)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,29300-256-01,20 mg/1,CAPSULE,ORAL,ANDA208340,"Unichem Pharmaceuticals (USA), Inc.",29300-256,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,"100 CAPSULE in 1 BOTTLE, PLASTIC (29300-256-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,29300-256-05,20 mg/1,CAPSULE,ORAL,ANDA208340,"Unichem Pharmaceuticals (USA), Inc.",29300-256,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,"500 CAPSULE in 1 BOTTLE, PLASTIC (29300-256-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,42291-953-01,10 mg/1,CAPSULE,ORAL,ANDA210347,AvKARE,42291-953,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2024,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42291-953-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,42291-954-50,20 mg/1,CAPSULE,ORAL,ANDA210347,AvKARE,42291-954,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2024,N/A,ANDA,500 CAPSULE in 1 BOTTLE (42291-954-50),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
Piroxicam,42291-954-01,20 mg/1,CAPSULE,ORAL,ANDA210347,AvKARE,42291-954,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,08/01/2024,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42291-954-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-176-10,10 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-176,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (42571-176-10),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-176-05,10 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-176,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,500 CAPSULE in 1 BOTTLE (42571-176-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-176-01,10 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-176,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42571-176-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-176-15,10 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-176,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,15 CAPSULE in 1 BOTTLE (42571-176-15),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-177-05,20 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-177,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,500 CAPSULE in 1 BOTTLE (42571-177-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
PIROXICAM,42571-177-01,20 mg/1,CAPSULE,ORAL,ANDA206152,Micro Labs Limited,42571-177,Piroxicam,PIROXICAM,HUMAN PRESCRIPTION DRUG,03/01/2018,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42571-177-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2027
