Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Sulindac,0591-5660-01,200 mg/1,TABLET,ORAL,ANDA071795,"Actavis Pharma, Inc.",0591-5660,Sulindac,SULINDAC,HUMAN PRESCRIPTION DRUG,04/03/1990,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-5660-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Sulindac,0591-5660-05,200 mg/1,TABLET,ORAL,ANDA071795,"Actavis Pharma, Inc.",0591-5660,Sulindac,SULINDAC,HUMAN PRESCRIPTION DRUG,04/03/1990,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-5660-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Sulindac,0591-5661-01,150 mg/1,TABLET,ORAL,ANDA071891,"Actavis Pharma, Inc.",0591-5661,Sulindac,SULINDAC,HUMAN PRESCRIPTION DRUG,04/03/1990,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-5661-01)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Sulindac,0591-5661-05,150 mg/1,TABLET,ORAL,ANDA071891,"Actavis Pharma, Inc.",0591-5661,Sulindac,SULINDAC,HUMAN PRESCRIPTION DRUG,04/03/1990,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-5661-05)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,24658-770-05,150 mg/1,TABLET,ORAL,ANDA072710,PuraCap Laboratories LLC dba Blu Pharmaceuticals,24658-770,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,500 TABLET in 1 BOTTLE (24658-770-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,24658-770-01,150 mg/1,TABLET,ORAL,ANDA072710,PuraCap Laboratories LLC dba Blu Pharmaceuticals,24658-770,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (24658-770-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,24658-771-01,200 mg/1,TABLET,ORAL,ANDA072711,PuraCap Laboratories LLC dba Blu Pharmaceuticals,24658-771,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (24658-771-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,24658-771-05,200 mg/1,TABLET,ORAL,ANDA072711,PuraCap Laboratories LLC dba Blu Pharmaceuticals,24658-771,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,500 TABLET in 1 BOTTLE (24658-771-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,42806-011-05,200 mg/1,TABLET,ORAL,ANDA072711,"Epic Pharma, LLC",42806-011,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,01/25/2010,N/A,ANDA,500 TABLET in 1 BOTTLE (42806-011-05),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
SULINDAC,42806-011-01,200 mg/1,TABLET,ORAL,ANDA072711,"Epic Pharma, LLC",42806-011,SULINDAC,SULINDAC,HUMAN PRESCRIPTION DRUG,01/25/2010,N/A,ANDA,100 TABLET in 1 BOTTLE (42806-011-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
