Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
UltraMax Invisible Solid - Active Sport,10237-871-28,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-871,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-871-28),N/A,N/A,No,12/31/2026
UltraMax Invisible Solid - Cool Blast,10237-872-28,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-872,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-872-28),N/A,N/A,No,12/31/2026
UltraMax Invisible Solid - Fresh,10237-869-10,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-869,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,28 g in 1 CANISTER (10237-869-10),N/A,N/A,No,12/31/2027
UltraMax Invisible Solid - Fresh,10237-869-26,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-869,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-869-26),N/A,N/A,No,12/31/2027
UltraMax Invisible Solid - Fresh,10237-869-46,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-869,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/14/2025,N/A,OTC MONOGRAPH DRUG,4 CANISTER in 1 BOX (10237-869-46) / 73 g in 1 CANISTER,N/A,N/A,No,12/31/2027
UltraMax Invisible Solid - Fresh,10237-869-52,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-869,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,2 CANISTER in 1 PACKAGE (10237-869-52) / 73 g in 1 CANISTER,N/A,N/A,No,12/31/2027
UltraMax Invisible Solid - Powder Fresh,10237-870-26,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-870,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-870-26),N/A,N/A,No,12/31/2026
UltraMax Invisible Solid - Powder Fresh,10237-870-10,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-870,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,28 g in 1 CANISTER (10237-870-10),N/A,N/A,No,12/31/2026
UltraMax Invisible Solid - Unscented,10237-873-26,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-873,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-873-26),N/A,N/A,No,12/31/2026
UltraMax Invisible Solid - Unscented,10237-873-28,.19 g/g,STICK,TOPICAL,M019,"Church & Dwight Co., Inc.",10237-873,Aluminum Chlorohydrate,ALUMINUM CHLOROHYDRATE,HUMAN OTC DRUG,02/01/2021,N/A,OTC MONOGRAPH DRUG,73 g in 1 CANISTER (10237-873-28),N/A,N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0115-1724-02,125 mg/1,"TABLET, COATED",ORAL,ANDA204371,Amneal Pharmaceuticals of New York LLC,0115-1724,Ultramicrosize Griseofulvin Tablets,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,09/29/2014,N/A,ANDA,"500 TABLET, COATED in 1 BOTTLE, PLASTIC (0115-1724-02)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0115-1724-01,125 mg/1,"TABLET, COATED",ORAL,ANDA204371,Amneal Pharmaceuticals of New York LLC,0115-1724,Ultramicrosize Griseofulvin Tablets,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,09/29/2014,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE, PLASTIC (0115-1724-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0115-1725-03,250 mg/1,"TABLET, COATED",ORAL,ANDA204371,Amneal Pharmaceuticals of New York LLC,0115-1725,Ultramicrosize Griseofulvin Tablets,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,09/29/2014,N/A,ANDA,"1000 TABLET, COATED in 1 BOTTLE, PLASTIC (0115-1725-03)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0115-1725-01,250 mg/1,"TABLET, COATED",ORAL,ANDA204371,Amneal Pharmaceuticals of New York LLC,0115-1725,Ultramicrosize Griseofulvin Tablets,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,09/29/2014,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE, PLASTIC (0115-1725-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0781-5827-05,125 mg/1,"TABLET, COATED",ORAL,ANDA202805,Sandoz Inc,0781-5827,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,04/01/2020,N/A,ANDA,"500 TABLET, COATED in 1 BOTTLE (0781-5827-05)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0781-5827-01,125 mg/1,"TABLET, COATED",ORAL,ANDA202805,Sandoz Inc,0781-5827,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,04/01/2020,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (0781-5827-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0781-5828-01,250 mg/1,"TABLET, COATED",ORAL,ANDA202805,Sandoz Inc,0781-5828,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,04/01/2020,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (0781-5828-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,0781-5828-05,250 mg/1,"TABLET, COATED",ORAL,ANDA202805,Sandoz Inc,0781-5828,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,04/01/2020,N/A,ANDA,"500 TABLET, COATED in 1 BOTTLE (0781-5828-05)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,23155-863-01,125 mg/1,TABLET,ORAL,ANDA061996,Heritage Pharmaceuticals Inc d/b/a Avet Pharmaceuticals Inc,23155-863,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,06/30/2023,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (23155-863-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,23155-864-01,250 mg/1,TABLET,ORAL,ANDA061996,Heritage Pharmaceuticals Inc d/b/a Avet Pharmaceuticals Inc,23155-864,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,06/30/2023,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (23155-864-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,42794-013-08,125 mg/1,TABLET,ORAL,ANDA202545,"Sigmapharm Laboratories, LLC",42794-013,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,05/11/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (42794-013-08),"Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,42794-014-08,250 mg/1,TABLET,ORAL,ANDA202545,"Sigmapharm Laboratories, LLC",42794-014,Ultramicrosize Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,05/11/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (42794-014-08),"Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,62135-494-01,125 mg/1,TABLET,ORAL,ANDA061996,"Chartwell RX, LLC.",62135-494,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,11/30/2020,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (62135-494-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,62135-494-30,125 mg/1,TABLET,ORAL,ANDA061996,"Chartwell RX, LLC.",62135-494,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,11/30/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (62135-494-30)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,62135-495-01,250 mg/1,TABLET,ORAL,ANDA061996,"Chartwell RX, LLC.",62135-495,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,11/30/2020,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (62135-495-01)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
Ultramicrosize Griseofulvin,62135-495-30,250 mg/1,TABLET,ORAL,ANDA061996,"Chartwell RX, LLC.",62135-495,Griseofulvin,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,11/30/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (62135-495-30)","Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
ULTRAMICROSIZE GRISEOFULVIN,62135-501-30,165 mg/1,TABLET,ORAL,ANDA061996,"Chartwell RX, LLC",62135-501,ULTRAMICROSIZE GRISEOFULVIN,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,01/30/2025,N/A,ANDA,30 TABLET in 1 BOTTLE (62135-501-30),"Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
ULTRAMICROSIZE GRISEOFULVIN,73308-435-30,165 mg/1,TABLET,ORAL,ANDA061996,"Ayurax, LLC.",73308-435,ULTRAMICROSIZE GRISEOFULVIN,GRISEOFULVIN,HUMAN PRESCRIPTION DRUG,01/30/2025,N/A,ANDA,30 TABLET in 1 BOTTLE (73308-435-30),"Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",N/A,No,12/31/2026
