Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ConZip,68025-071-30,100 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA022370,"Vertical Pharmaceuticals, LLC",68025-071,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2011,N/A,NDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (68025-071-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
ConZip,68025-072-30,200 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA022370,"Vertical Pharmaceuticals, LLC",68025-072,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2011,N/A,NDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (68025-072-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
ConZip,68025-073-30,300 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,NDA022370,"Vertical Pharmaceuticals, LLC",68025-073,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2011,N/A,NDA,"30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (68025-073-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
Tramadol Hydrochloride,0093-3301-01,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA075977,"Teva Pharmaceuticals USA, Inc.",0093-3301,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/17/2024,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0093-3301-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,0093-3301-05,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA075977,"Teva Pharmaceuticals USA, Inc.",0093-3301,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/12/2024,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (0093-3301-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,0904-7496-61,50 mg/1,"TABLET, COATED",ORAL,ANDA076003,Major Pharmaceuticals,0904-7496,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/22/2024,N/A,ANDA,"100 BLISTER PACK in 1 CARTON (0904-7496-61) / 1 TABLET, COATED in 1 BLISTER PACK","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,13811-689-30,100 mg/1,CAPSULE,ORAL,NDA022370,"Trigen Laboratories, LLC",13811-689,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/22/2015,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE in 1 BOTTLE, PLASTIC (13811-689-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,13811-690-30,200 mg/1,CAPSULE,ORAL,NDA022370,"Trigen Laboratories, LLC",13811-690,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/22/2015,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE in 1 BOTTLE, PLASTIC (13811-690-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,13811-691-30,300 mg/1,CAPSULE,ORAL,NDA022370,"Trigen Laboratories, LLC",13811-691,tramadol hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/22/2015,N/A,NDA AUTHORIZED GENERIC,"30 CAPSULE in 1 BOTTLE, PLASTIC (13811-691-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,16571-716-50,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA203494,"Rising Pharma Holdings, Inc.",16571-716,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2020,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (16571-716-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,16571-716-10,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA203494,"Rising Pharma Holdings, Inc.",16571-716,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2020,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE (16571-716-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,16571-716-01,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA203494,"Rising Pharma Holdings, Inc.",16571-716,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2020,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (16571-716-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
TRAMADOL HYDROCHLORIDE,27808-301-01,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA091498,"Cranbury Pharmaceuticals, LLC",27808-301,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/22/2024,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (27808-301-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
TRAMADOL HYDROCHLORIDE,27808-301-02,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA091498,"Cranbury Pharmaceuticals, LLC",27808-301,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/22/2024,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (27808-301-02)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
TRAMADOL HYDROCHLORIDE,27808-301-03,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA091498,"Cranbury Pharmaceuticals, LLC",27808-301,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/22/2024,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE (27808-301-03)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
Tramadol Hydrochloride,29300-355-01,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA211825,"Unichem Pharmaceuticals (USA), Inc.",29300-355,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/04/2019,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (29300-355-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,29300-355-10,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA211825,"Unichem Pharmaceuticals (USA), Inc.",29300-355,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/04/2019,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (29300-355-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,29300-355-05,50 mg/1,"TABLET, FILM COATED",ORAL,ANDA211825,"Unichem Pharmaceuticals (USA), Inc.",29300-355,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/04/2019,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (29300-355-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2027
Tramadol Hydrochloride,33342-269-11,100 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA209404,Macleods Pharmaceuticals Limited,33342-269,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/31/2025,N/A,ANDA,"100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (33342-269-11)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
Tramadol Hydrochloride,33342-269-10,100 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA209404,Macleods Pharmaceuticals Limited,33342-269,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/31/2025,N/A,ANDA,"90 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (33342-269-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]",CIV,No,12/31/2026
