Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Adalimumab,72606-022-01,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,1 KIT in 1 CARTON (72606-022-01) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-02,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,2 KIT in 1 CARTON (72606-022-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-03,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,4 KIT in 1 CARTON (72606-022-03) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-04,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,6 KIT in 1 CARTON (72606-022-04) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-05,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,1 KIT in 1 CARTON (72606-022-05) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-06,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,2 KIT in 1 CARTON (72606-022-06) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-07,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,4 KIT in 1 CARTON (72606-022-07) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-09,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,1 KIT in 1 CARTON (72606-022-09) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-12,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,6 KIT in 1 CARTON (72606-022-12) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-10,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,2 KIT in 1 CARTON (72606-022-10) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-08,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,6 KIT in 1 CARTON (72606-022-08) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-11,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,4 KIT in 1 CARTON (72606-022-11) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
