Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Adalimumab-adbm,0597-0545-22,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0545,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,10/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0545-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0540-10) / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,0597-0555-80,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0555,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,10/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0555-80) / 1 KIT in 1 KIT * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET * 1 SYRINGE in 1 TRAY (0597-0550-06) / .4 mL in 1 SYRINGE,N/A,N/A,No,12/31/2026
Adalimumab-adbm,0597-0565-20,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0565,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (0597-0565-20) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0560-12) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,0597-0575-50,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0575,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (0597-0575-50) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0570-32) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,0597-0585-89,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0585,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,10/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0585-89) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0580-37) / .2 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,0597-0595-20,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0595,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,10/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0595-20) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0590-26) / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,82009-144-22,,KIT,,BLA761058,QUALLENT PHARMACEUTICALS HEALTH LLC,82009-144,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (82009-144-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-145-11) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,82009-146-22,,KIT,,BLA761058,QUALLENT PHARMACEUTICALS HEALTH LLC,82009-146,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (82009-146-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-147-11) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,82009-148-22,,KIT,,BLA761058,QUALLENT PHARMACEUTICALS HEALTH LLC,82009-148,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (82009-148-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-149-11) / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Adalimumab-adbm,82009-150-22,,KIT,,BLA761058,QUALLENT PHARMACEUTICALS HEALTH LLC,82009-150,Adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (82009-150-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-151-11) / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2026
Cyltezo,0597-0370-82,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0370,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0370-82) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Cyltezo,0597-0375-97,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0375,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0375-97) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Cyltezo,0597-0400-89,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0400,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0400-89) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .2 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Cyltezo,0597-0405-80,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0405,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,2 KIT in 1 CARTON (0597-0405-80) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Cyltezo,0597-0485-20,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0485,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (0597-0485-20) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0480-12) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Cyltezo,0597-0495-50,,KIT,,BLA761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0495,adalimumab-adbm,,HUMAN PRESCRIPTION DRUG,04/30/2024,N/A,BLA,2 KIT in 1 CARTON (0597-0495-50) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (0597-0490-32) / .4 mL in 1 SYRINGE * 2 PACKET in 1 TRAY / 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
