Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Adalimumab-ryvk,51759-310-59,,KIT,,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-310,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,BLA,2 KIT in 1 CARTON (51759-310-59) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (51759-312-30) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2027
Adalimumab-ryvk,51759-311-58,,KIT,,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-311,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,BLA,1 KIT in 1 CARTON (51759-311-58) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (51759-313-30) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2027
Adalimumab-ryvk,51759-360-02,,KIT,,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-360,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,07/01/2025,N/A,BLA,2 KIT in 1 CARTON (51759-360-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (51759-368-21) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2026
Adalimumab-ryvk,51759-361-17,,KIT,,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-361,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,07/01/2025,N/A,BLA,1 KIT in 1 CARTON (51759-361-17) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * .4 mL in 1 POUCH,N/A,N/A,No,12/31/2026
Adalimumab-ryvk,82009-156-22,,KIT,SUBCUTANEOUS,BLA761299,Quallent Pharmaceuticals Health LLC,82009-156,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,05/22/2024,N/A,BLA,2 KIT in 1 CARTON (82009-156-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-157-11) / .4 mL in 1 SYRINGE * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2027
Adalimumab-ryvk,82009-158-22,,KIT,SUBCUTANEOUS,BLA761299,Quallent Pharmaceuticals Health LLC,82009-158,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,07/31/2024,N/A,BLA,2 KIT in 1 CARTON (82009-158-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY (82009-159-11) / .4 mL in 1 SYRINGE * .4 mL in 1 POUCH,N/A,N/A,No,12/31/2027
Simlandi,50090-7718-0,,KIT,SUBCUTANEOUS,BLA761299,A-S Medication Solutions,50090-7718,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,10/16/2025,N/A,BLA,24 KIT in 1 CASE (50090-7718-0) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (51759-513-21) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2026
Simlandi,51759-274-17,,KIT,SUBCUTANEOUS,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-274,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,02/14/2025,N/A,BLA,1 KIT in 1 CARTON (51759-274-17) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (51759-384-21) * .4 mL in 1 POUCH,N/A,N/A,No,12/31/2027
Simlandi,51759-386-22,,KIT,,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-386,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,01/29/2025,N/A,BLA,2 KIT in 1 CARTON (51759-386-22) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .2 mL in 1 SYRINGE (51759-497-31) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2027
Simlandi,51759-402-17,,KIT,SUBCUTANEOUS,BLA761299,"Teva Pharmaceuticals USA, Inc.",51759-402,adalimumab-ryvk,,HUMAN PRESCRIPTION DRUG,05/20/2024,N/A,BLA,1 KIT in 1 CARTON (51759-402-17) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (51759-513-21) * .4 mL in 1 POUCH (65517-0002-1),N/A,N/A,No,12/31/2027
