Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Humira,0074-0124-04,,KIT,,BLA125057,AbbVie Inc.,0074-0124,Adalimumab,,HUMAN PRESCRIPTION DRUG,02/24/2021,N/A,BLA,4 KIT in 1 CARTON (0074-0124-04) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0124-02,,KIT,,BLA125057,AbbVie Inc.,0074-0124,Adalimumab,,HUMAN PRESCRIPTION DRUG,12/16/2020,N/A,BLA,2 KIT in 1 CARTON (0074-0124-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0124-74,,KIT,,BLA125057,AbbVie Inc.,0074-0124,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/21/2017,N/A,BLA,1 KIT in 1 CARTON (0074-0124-74) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,Yes,12/31/2027
Humira,0074-0124-03,,KIT,,BLA125057,AbbVie Inc.,0074-0124,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/21/2017,N/A,BLA,3 KIT in 1 CARTON (0074-0124-03) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0124-01,,KIT,,BLA125057,AbbVie Inc.,0074-0124,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/21/2017,N/A,BLA,1 KIT in 1 CARTON (0074-0124-01) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0243-02,,KIT,,BLA125057,AbbVie Inc.,0074-0243,Adalimumab,,HUMAN PRESCRIPTION DRUG,11/23/2015,N/A,BLA,2 KIT in 1 CARTON (0074-0243-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0554-01,,KIT,,BLA125057,AbbVie Inc.,0074-0554,Adalimumab,,HUMAN PRESCRIPTION DRUG,03/09/2016,N/A,BLA,1 KIT in 1 CARTON (0074-0554-01) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0554-71,,KIT,,BLA125057,AbbVie Inc.,0074-0554,Adalimumab,,HUMAN PRESCRIPTION DRUG,03/09/2016,N/A,BLA,2 KIT in 1 CARTON (0074-0554-71) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,Yes,12/31/2027
Humira,0074-0554-02,,KIT,,BLA125057,AbbVie Inc.,0074-0554,Adalimumab,,HUMAN PRESCRIPTION DRUG,03/09/2016,N/A,BLA,2 KIT in 1 CARTON (0074-0554-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0554-74,,KIT,,BLA125057,AbbVie Inc.,0074-0554,Adalimumab,,HUMAN PRESCRIPTION DRUG,03/09/2016,N/A,BLA,1 KIT in 1 CARTON (0074-0554-74) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,Yes,12/31/2027
Humira,0074-0616-71,,KIT,,BLA125057,AbbVie Inc.,0074-0616,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,BLA,2 KIT in 1 CARTON (0074-0616-71) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .2 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,Yes,12/31/2027
Humira,0074-0616-02,,KIT,,BLA125057,AbbVie Inc.,0074-0616,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,BLA,2 KIT in 1 CARTON (0074-0616-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .2 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-0817-02,,KIT,,BLA125057,AbbVie Inc.,0074-0817,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/28/2017,N/A,BLA,2 KIT in 1 CARTON (0074-0817-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .1 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-1539-03,,KIT,,BLA125057,AbbVie Inc.,0074-1539,Adalimumab,,HUMAN PRESCRIPTION DRUG,04/21/2017,N/A,BLA,3 KIT in 1 CARTON (0074-1539-03) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE,N/A,N/A,No,12/31/2027
Humira,0074-2540-01,,KIT,,BLA125057,AbbVie Inc.,0074-2540,Adalimumab,,HUMAN PRESCRIPTION DRUG,10/17/2016,N/A,BLA,1 KIT in 1 CARTON (0074-2540-01) / 1 KIT in 1 KIT * 1 mL in 1 PACKAGE * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE,N/A,N/A,No,12/31/2027
Humira,0074-3799-02,,KIT,,BLA125057,AbbVie Inc.,0074-3799,Adalimumab,,HUMAN PRESCRIPTION DRUG,12/31/2002,N/A,BLA,2 KIT in 1 CARTON (0074-3799-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Humira,0074-4339-02,,KIT,,BLA125057,AbbVie Inc.,0074-4339,Adalimumab,,HUMAN PRESCRIPTION DRUG,06/23/2006,N/A,BLA,2 KIT in 1 CARTON (0074-4339-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
