Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ABRILADA,0025-0325-01,,KIT,,BLA761118,Pfizer Laboratories Div Pfizer Inc,0025-0325,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,12/14/2023,N/A,BLA,1 KIT in 1 CARTON (0025-0325-01) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
ABRILADA,0025-0325-02,,KIT,,BLA761118,Pfizer Laboratories Div Pfizer Inc,0025-0325,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,12/14/2023,N/A,BLA,2 KIT in 1 CARTON (0025-0325-02) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
ABRILADA,0025-0328-02,,KIT,,BLA761118,Pfizer Laboratories Div Pfizer Inc,0025-0328,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,12/14/2023,N/A,BLA,2 KIT in 1 CARTON (0025-0328-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (0025-0317-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
ABRILADA,0025-0333-02,,KIT,,BLA761118,Pfizer Laboratories Div Pfizer Inc,0025-0333,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,12/14/2023,N/A,BLA,2 KIT in 1 CARTON (0025-0333-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (0025-0329-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
ABRILADA,50090-7998-0,,KIT,,BLA761118,A-S Medication Solutions,50090-7998,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,06/17/2026,N/A,BLA,2 KIT in 1 CARTON (50090-7998-0) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
ABRILADA,50090-8032-0,,KIT,,BLA761118,A-S Medication Solutions,50090-8032,adalimumab-afzb,,HUMAN PRESCRIPTION DRUG,08/05/2026,N/A,BLA,1 KIT in 1 KIT (50090-8032-0) * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (0025-0317-01) * 1 mL in 1 PACKET (0069-1111-01),N/A,N/A,No,12/31/2027
Adalimumab,61314-325-20,80 mg/.8mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761071,Sandoz Inc,61314-325,adalimumab-adaz,ADALIMUMAB,HUMAN PRESCRIPTION DRUG,01/06/2025,N/A,BLA,2 SYRINGE in 1 CARTON (61314-325-20) / .8 mL in 1 SYRINGE,"Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
Adalimumab,61314-327-64,40 mg/.4mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761071,Sandoz Inc,61314-327,adalimumab-adaz,ADALIMUMAB,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,"2 SYRINGE, GLASS in 1 CARTON (61314-327-64) / .4 mL in 1 SYRINGE, GLASS","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
Adalimumab,61314-327-20,40 mg/.4mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761071,Sandoz Inc,61314-327,adalimumab-adaz,ADALIMUMAB,HUMAN PRESCRIPTION DRUG,07/01/2023,N/A,BLA,2 SYRINGE in 1 CARTON (61314-327-20) / .4 mL in 1 SYRINGE,"Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
Adalimumab,61314-332-64,20 mg/.2mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761071,Sandoz Inc,61314-332,adalimumab-adaz,ADALIMUMAB,HUMAN PRESCRIPTION DRUG,12/02/2024,N/A,BLA,"2 SYRINGE, GLASS in 1 CARTON (61314-332-64) / .2 mL in 1 SYRINGE, GLASS","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
Adalimumab,61314-391-64,10 mg/.1mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761071,Sandoz Inc,61314-391,adalimumab-adaz,ADALIMUMAB,HUMAN PRESCRIPTION DRUG,03/26/2025,N/A,BLA,"2 SYRINGE, GLASS in 1 CARTON (61314-391-64) / .1 mL in 1 SYRINGE, GLASS","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",N/A,No,12/31/2027
Adalimumab,72606-022-01,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,1 KIT in 1 CARTON (72606-022-01) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-07,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,4 KIT in 1 CARTON (72606-022-07) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-06,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,2 KIT in 1 CARTON (72606-022-06) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
Adalimumab,72606-022-02,,KIT,,BLA761219,"CELLTRION USA, Inc.",72606-022,adalimumab-aaty,,HUMAN PRESCRIPTION DRUG,11/30/2023,N/A,BLA,2 KIT in 1 CARTON (72606-022-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE * 1 mL in 1 PACKET,N/A,N/A,No,12/31/2027
