Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
CEQUA,47335-506-96,.0009 g/mL,SOLUTION/ DROPS,OPHTHALMIC; TOPICAL,NDA210913,"Sun Pharmaceutical Industries, Inc.",47335-506,cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,08/15/2018,N/A,NDA,"6 POUCH in 1 BOX (47335-506-96) / 10 VIAL, SINGLE-DOSE in 1 POUCH / .25 mL in 1 VIAL, SINGLE-DOSE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2027
CEQUA,47335-507-97,.0009 mg/mL,SOLUTION/ DROPS,OPHTHALMIC; TOPICAL,NDA210913,"Sun Pharmaceutical Industries, Inc.",47335-507,cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,08/15/2018,N/A,NDA,"1 POUCH in 1 BOX (47335-507-97) / 10 VIAL, SINGLE-DOSE in 1 POUCH / .25 mL in 1 VIAL, SINGLE-DOSE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,Yes,12/31/2027
Cyclosporine,0093-9018-65,25 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA065110,"Teva Pharmaceuticals USA, Inc.",0093-9018,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,06/08/2021,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0093-9018-65) / 1 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (0093-9018-19)","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0093-9019-65,50 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA065110,"Teva Pharmaceuticals USA, Inc.",0093-9019,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,06/08/2021,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0093-9019-65) / 1 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (0093-9019-19)","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0093-9020-65,100 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA065110,"Teva Pharmaceuticals USA, Inc.",0093-9020,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,06/08/2021,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0093-9020-65) / 1 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (0093-9020-19)","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0172-7313-20,100 mg/mL,SOLUTION,ORAL,ANDA065078,"Teva Pharmaceuticals USA, Inc.",0172-7313,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,03/29/2005,N/A,ANDA,1 BOTTLE in 1 PACKAGE (0172-7313-20) / 50 mL in 1 BOTTLE,"Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0378-8760-58,.5 mg/mL,EMULSION,OPHTHALMIC,ANDA205894,Mylan Pharmaceuticals Inc.,0378-8760,cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,02/03/2022,N/A,ANDA,"6 POUCH in 1 CARTON (0378-8760-58) / 5 VIAL, SINGLE-USE in 1 POUCH (0378-8760-98) / .4 mL in 1 VIAL, SINGLE-USE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0378-8760-91,.5 mg/mL,EMULSION,OPHTHALMIC,ANDA205894,Mylan Pharmaceuticals Inc.,0378-8760,cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,02/03/2022,N/A,ANDA,"12 POUCH in 1 CARTON (0378-8760-91) / 5 VIAL, SINGLE-USE in 1 POUCH / .4 mL in 1 VIAL, SINGLE-USE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0480-4076-30,.5 mg/mL,EMULSION,OPHTHALMIC,ANDA203880,"Teva Pharmaceuticals, Inc.",0480-4076,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,10/28/2025,N/A,ANDA,"6 POUCH in 1 CARTON (0480-4076-30) / 5 VIAL, SINGLE-DOSE in 1 POUCH / .4 mL in 1 VIAL, SINGLE-DOSE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,0480-4076-60,.5 mg/mL,EMULSION,OPHTHALMIC,ANDA203880,"Teva Pharmaceuticals, Inc.",0480-4076,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,10/28/2025,N/A,ANDA,"12 POUCH in 1 CARTON (0480-4076-60) / 5 VIAL, SINGLE-DOSE in 1 POUCH / .4 mL in 1 VIAL, SINGLE-DOSE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,10702-808-03,.5 mg/mL,EMULSION,OPHTHALMIC,NDA050790,"KVK-TECH, INC.",10702-808,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,02/10/2022,N/A,NDA AUTHORIZED GENERIC,"30 VIAL, SINGLE-USE in 1 TRAY (10702-808-03) / .4 mL in 1 VIAL, SINGLE-USE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Cyclosporine,10702-808-06,.5 mg/mL,EMULSION,OPHTHALMIC,NDA050790,"KVK-TECH, INC.",10702-808,Cyclosporine,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,02/10/2022,N/A,NDA AUTHORIZED GENERIC,"60 VIAL, SINGLE-USE in 1 TRAY (10702-808-06) / .4 mL in 1 VIAL, SINGLE-USE","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
CYCLOSPORINE,23155-837-30,25 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA216046,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-837,CYCLOSPORINE,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,11/30/2022,N/A,ANDA,"3 BLISTER PACK in 1 CARTON (23155-837-30) / 10 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (23155-837-11)","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
CYCLOSPORINE,23155-838-30,50 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA216046,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-838,CYCLOSPORINE,CYCLOSPORINE,HUMAN PRESCRIPTION DRUG,11/30/2022,N/A,ANDA,"6 BLISTER PACK in 1 CARTON (23155-838-30) / 5 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (23155-838-11)","Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
