Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Hydroxychloroquine Sulfate,0093-2401-01,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA040081,"Teva Pharmaceuticals USA, Inc.",0093-2401,Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,10/08/2020,11/30/2026,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0093-2401-01)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,N/A
Hydroxychloroquine sulfate,0615-8459-39,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA040657,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8459,Hydroxychloroquine sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,04/13/2023,N/A,ANDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8459-39)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
HYDROXYCHLOROQUINE SULFATE,0904-7046-61,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210441,Major Pharmaceuticals,0904-7046,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/01/2018,N/A,ANDA,"100 BLISTER PACK in 1 CARTON (0904-7046-61) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2027
HYDROXYCHLOROQUINE SULFATE,0904-7046-06,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210441,Major Pharmaceuticals,0904-7046,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/01/2018,N/A,ANDA,"50 BLISTER PACK in 1 CARTON (0904-7046-06) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2027
Hydroxychloroquine Sulfate,16571-112-50,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210959,"Rising Pharma Holdings, Inc.",16571-112,Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/29/2023,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (16571-112-50)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
Hydroxychloroquine Sulfate,16571-112-10,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210959,"Rising Pharma Holdings, Inc.",16571-112,Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/29/2023,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE (16571-112-10)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
Hydroxychloroquine Sulfate,16571-112-01,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210959,"Rising Pharma Holdings, Inc.",16571-112,Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/29/2023,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (16571-112-01)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
Hydroxychloroquine Sulfate,16571-112-06,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA210959,"Rising Pharma Holdings, Inc.",16571-112,Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,05/29/2023,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE (16571-112-06)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
Hydroxychloroquine sulfate,16714-110-02,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA040657,Northstar Rx LLC.,16714-110,Hydroxychloroquine sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,12/03/2021,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (16714-110-02)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
Hydroxychloroquine sulfate,16714-110-01,200 mg/1,"TABLET, FILM COATED",ORAL,ANDA040657,Northstar Rx LLC.,16714-110,Hydroxychloroquine sulfate,HYDROXYCHLOROQUINE SULFATE,HUMAN PRESCRIPTION DRUG,10/01/2019,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (16714-110-01)","Antimalarial [EPC], Antirheumatic Agent [EPC]",N/A,No,12/31/2026
