Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
JYLAMVO,81927-204-01,2 mg/mL,SOLUTION,ORAL,NDA212479,SHORLA ONCOLOGY INC.,81927-204,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,12/15/2023,N/A,NDA,"1 BOTTLE, GLASS in 1 CARTON (81927-204-01) / 60 mL in 1 BOTTLE, GLASS","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,0143-9367-01,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040632,Hikma Pharmaceuticals USA Inc.,0143-9367,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,09/06/2005,N/A,ANDA,"1 VIAL in 1 BOX (0143-9367-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0143-9516-01,25 mg/mL,SOLUTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA089343,Hikma Pharmaceuticals USA Inc.,0143-9516,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,01/05/2018,N/A,ANDA,1 VIAL in 1 BOX (0143-9516-01) / 10 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0143-9517-01,25 mg/mL,SOLUTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA089342,Hikma Pharmaceuticals USA Inc.,0143-9517,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,01/05/2018,N/A,ANDA,1 VIAL in 1 BOX (0143-9517-01) / 8 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0143-9518-01,25 mg/mL,SOLUTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA089341,Hikma Pharmaceuticals USA Inc.,0143-9518,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,01/05/2018,N/A,ANDA,1 VIAL in 1 BOX (0143-9518-01) / 4 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0143-9519-10,25 mg/mL,SOLUTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA089340,Hikma Pharmaceuticals USA Inc.,0143-9519,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,10/10/2017,N/A,ANDA,10 VIAL in 1 CARTON (0143-9519-10) / 2 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0143-9830-01,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040632,Hikma Pharmaceuticals USA Inc.,0143-9830,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,04/25/2017,N/A,ANDA,"1 VIAL in 1 BOX (0143-9830-01) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,0378-0014-01,2.5 mg/1,TABLET,ORAL,ANDA081235,Mylan Pharmaceuticals Inc.,0378-0014,methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,05/18/1992,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0378-0014-01)","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,0555-0572-35,2.5 mg/1,TABLET,ORAL,ANDA081099,"Teva Pharmaceuticals USA, Inc.",0555-0572,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,11/01/1990,N/A,ANDA,36 TABLET in 1 BOTTLE (0555-0572-35),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,0555-0572-02,2.5 mg/1,TABLET,ORAL,ANDA081099,"Teva Pharmaceuticals USA, Inc.",0555-0572,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,11/01/1990,N/A,ANDA,100 TABLET in 1 BOTTLE (0555-0572-02),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,0703-3671-01,25 mg/mL,"INJECTION, SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040843,"Teva Parenteral Medicines, Inc.",0703-3671,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,06/08/2018,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0703-3671-01) / 2 mL in 1 VIAL, SINGLE-DOSE","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0703-3675-01,25 mg/mL,"INJECTION, SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040843,"Teva Parenteral Medicines, Inc.",0703-3675,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,08/01/2012,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0703-3675-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0703-3678-01,25 mg/mL,"INJECTION, SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040843,"Teva Parenteral Medicines, Inc.",0703-3678,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,08/01/2012,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0703-3678-01) / 40 mL in 1 VIAL, SINGLE-DOSE","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,0904-7141-10,2.5 mg/1,TABLET,ORAL,ANDA207812,Major Pharmaceuticals,0904-7141,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,02/09/2017,N/A,ANDA,20 BLISTER PACK in 1 CARTON (0904-7141-10) / 1 TABLET in 1 BLISTER PACK,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,16729-277-03,25 mg/mL,INJECTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040716,"Accord Healthcare, Inc.",16729-277,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,03/07/2014,N/A,ANDA,1 VIAL in 1 CARTON (16729-277-03) / 10 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,16729-277-30,25 mg/mL,INJECTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040716,"Accord Healthcare, Inc.",16729-277,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,03/07/2014,N/A,ANDA,1 VIAL in 1 CARTON (16729-277-30) / 2 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,16729-277-35,25 mg/mL,INJECTION,INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,ANDA040716,"Accord Healthcare, Inc.",16729-277,Methotrexate,METHOTREXATE,HUMAN PRESCRIPTION DRUG,03/07/2014,N/A,ANDA,1 VIAL in 1 CARTON (16729-277-35) / 40 mL in 1 VIAL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,16729-486-01,2.5 mg/1,TABLET,ORAL,ANDA213343,Accord Healthcare Inc.,16729-486,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,08/24/2020,N/A,ANDA,100 TABLET in 1 BOTTLE (16729-486-01),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
Methotrexate,42291-594-01,2.5 mg/1,TABLET,ORAL,ANDA081099,AvKARE,42291-594,Methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,11/20/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (42291-594-01),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
METHOTREXATE,46708-711-05,25 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,ANDA220225,Alembic Pharmaceuticals Limited,46708-711,methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,04/15/2026,N/A,ANDA,"5 VIAL, MULTI-DOSE in 1 CARTON (46708-711-05) / 2 mL in 1 VIAL, MULTI-DOSE (46708-711-01)","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
METHOTREXATE,46708-712-01,25 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS; SUBCUTANEOUS,ANDA220225,Alembic Pharmaceuticals Limited,46708-712,methotrexate,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,04/15/2026,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (46708-712-01) / 40 mL in 1 VIAL, SINGLE-DOSE","Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
METHOTREXATE,46708-730-31,2.5 mg/1,TABLET,ORAL,ANDA217552,Alembic Pharmaceuticals Limited,46708-730,METHOTREXATE,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,06/04/2024,N/A,ANDA,100 TABLET in 1 BOTTLE (46708-730-31),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
METHOTREXATE,46708-730-36,2.5 mg/1,TABLET,ORAL,ANDA217552,Alembic Pharmaceuticals Limited,46708-730,METHOTREXATE,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,06/04/2024,N/A,ANDA,36 TABLET in 1 BOTTLE (46708-730-36),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2026
Methotrexate,47335-235-83,2.5 mg/1,TABLET,ORAL,ANDA201749,"Sun Pharmaceutical Industries, Inc.",47335-235,Methotrexate Sodium,METHOTREXATE SODIUM,HUMAN PRESCRIPTION DRUG,11/10/2017,N/A,ANDA,100 TABLET in 1 BOTTLE (47335-235-83),"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",N/A,No,12/31/2027
